espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,87.0,87.0,0.0
0.05,0.0,2.73,0.0,85.79,85.07,0.0
0.239,0.0,4.01,0.0,85.75,84.65,0.0
0.439,0.02,4.85,0.0,85.53,84.08,0.0
0.69,0.02,5.53,0.0,85.34,84.14,0.0
0.889,0.01,5.95,0.0,85.08,84.21,0.0
1.096,0.06,6.31,0.0,84.83,84.11,0.0
1.291,0.22,6.55,0.0,84.69,84.46,0.0
1.491,0.28,6.69,0.0,84.56,85.04,0.0
1.691,0.32,6.82,0.0,84.38,86.03,0.0
1.888,0.38,6.89,0.0,84.26,86.93,0.0
2.139,0.41,6.92,0.0,84.18,87.84,0.0
2.339,0.44,6.93,0.0,84.12,88.45,0.0
2.538,0.51,6.98,0.0,84.1,88.84,0.0
2.74,0.58,7.06,0.0,84.04,88.94,0.0
2.938,0.64,7.07,0.0,84.08,89.23,0.0
3.139,0.69,7.09,0.0,84.1,89.07,0.0
3.437,0.78,7.0,0.0,84.18,88.91,0.0
3.587,0.9,7.01,0.0,84.3,88.74,0.0
3.789,1.05,7.05,0.0,84.5,88.48,0.0
3.988,1.21,7.03,0.0,84.61,88.42,0.0
4.187,1.43,6.93,0.0,84.74,88.36,0.0
4.388,1.69,6.93,0.0,84.9,88.32,0.0
4.739,1.93,6.95,0.0,85.09,88.19,0.0
4.836,2.25,6.75,0.0,85.21,88.03,0.0
5.038,2.44,6.02,0.0,85.36,87.93,0.0
5.237,2.27,5.14,0.0,85.58,87.9,0.0
5.439,2.1,4.18,0.0,85.7,87.77,0.0
5.638,1.89,3.35,0.0,85.86,87.74,0.0
5.838,1.79,2.69,0.0,85.95,87.8,0.0
6.09,1.7,2.1,0.0,86.08,87.71,0.0
6.289,1.63,1.74,0.0,86.2,87.55,0.0
6.489,1.63,1.37,0.0,86.26,87.55,0.0
6.689,1.57,1.07,0.0,86.42,87.48,0.0
6.891,1.53,0.83,0.0,86.46,87.45,0.0
7.089,1.5,0.65,0.0,86.52,87.61,0.0
7.341,1.47,0.5,0.0,86.61,87.45,0.0
7.537,1.45,0.39,0.0,86.67,87.29,0.0
7.738,1.45,0.3,0.0,86.66,87.26,0.0
7.937,1.44,0.24,0.0,86.72,87.32,0.0
8.137,1.42,0.18,0.0,86.8,87.45,0.0
8.337,1.42,0.14,0.0,86.76,87.35,0.0
8.594,1.41,0.11,0.0,86.74,87.26,0.0
8.791,1.4,0.09,0.0,86.74,87.42,0.0
8.988,1.4,0.07,0.0,86.73,87.32,0.0
9.19,1.39,0.05,0.0,86.75,87.29,0.0
9.391,1.39,0.04,0.0,86.78,87.35,0.0
9.591,1.38,0.03,0.05,86.73,87.29,0.01
9.843,1.38,0.02,0.05,86.67,87.39,0.01
10.037,1.38,0.02,0.05,86.63,87.13,0.01
10.238,1.37,0.01,0.05,86.62,87.19,0.01
10.439,1.37,0.01,0.05,86.63,87.26,0.01
10.639,1.37,0.01,0.05,86.69,87.19,0.01
10.838,1.36,0.01,0.05,86.6,87.22,0.01
11.139,1.36,0.01,0.05,86.65,87.16,0.01
11.339,1.36,0.0,0.05,86.57,87.09,0.01
11.487,1.36,0.0,0.05,86.56,87.13,0.01
11.689,1.36,0.0,0.05,86.57,87.19,0.01
11.888,1.35,0.0,0.05,86.52,87.16,0.01
12.089,1.35,0.0,0.05,86.5,87.22,0.01
12.391,1.35,0.0,0.05,86.5,87.19,0.01
12.539,1.35,0.0,0.05,86.49,87.22,0.01
12.737,1.35,0.0,0.05,86.38,87.09,0.01
12.939,1.35,0.0,0.05,86.32,87.16,0.01
13.137,1.34,0.0,0.05,86.4,87.16,0.01
13.337,1.34,0.0,0.09,86.39,87.03,0.03
13.689,1.34,0.0,0.08,86.41,87.09,0.06
13.787,1.34,0.0,0.07,86.3,87.06,0.07
13.991,1.34,0.0,0.06,86.27,87.13,0.09
14.189,1.34,0.0,0.05,86.29,87.03,0.11
