espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.128,0.19,2.15,0.0,88.76,88.52,0.0
0.168,0.15,3.29,0.0,88.82,88.48,0.0
0.39,0.18,4.03,0.0,88.7,87.52,0.0
0.589,0.25,4.58,0.0,88.45,86.32,0.0
0.789,0.26,4.98,0.0,88.34,86.45,0.0
0.989,0.25,5.28,0.0,88.15,86.74,0.0
1.189,0.29,5.52,0.0,87.91,87.19,0.0
1.388,0.37,5.69,0.0,87.79,87.64,0.0
1.64,0.46,5.81,0.0,87.66,88.36,0.0
1.84,0.5,5.88,0.0,87.52,89.33,0.0
2.04,0.52,5.96,0.0,87.44,90.18,0.0
2.241,0.56,5.94,0.0,87.39,90.77,0.0
2.445,0.6,6.03,0.0,87.3,91.49,0.0
2.642,0.6,6.05,0.0,87.27,91.82,0.0
2.892,0.64,6.02,0.0,87.21,92.25,0.0
3.089,0.68,6.05,0.0,87.19,92.51,0.0
3.288,0.74,6.08,0.0,87.22,92.41,0.0
3.491,0.77,6.06,0.0,87.28,92.38,0.0
3.693,0.81,6.01,0.0,87.36,92.28,0.0
3.888,0.89,6.02,0.0,87.43,92.11,0.0
4.14,0.98,6.0,0.0,87.48,91.95,0.0
4.344,1.08,5.97,0.0,87.64,91.91,0.0
4.542,1.21,5.95,0.0,87.79,91.78,0.0
4.74,1.37,6.0,0.0,87.96,91.59,0.0
4.938,1.58,5.93,0.0,88.08,91.65,0.0
5.238,1.75,5.96,0.0,88.19,91.52,0.0
5.39,1.96,5.62,0.0,88.38,91.36,0.0
5.589,1.93,4.93,0.0,88.54,91.42,0.0
5.792,1.77,4.12,0.0,88.66,91.49,0.0
5.991,1.58,3.43,0.0,88.81,91.32,0.0
6.189,1.53,2.76,0.0,88.92,91.22,0.0
6.388,1.4,2.15,0.0,89.03,91.19,0.0
6.691,1.28,1.68,0.0,89.12,91.12,0.0
6.84,1.22,1.3,0.09,89.22,91.12,0.03
7.05,1.17,1.01,0.13,89.35,90.89,0.05
7.246,1.13,0.79,0.17,89.44,91.06,0.08
7.442,1.11,0.76,0.16,89.49,90.96,0.1
7.638,1.13,0.61,0.33,89.58,90.99,0.18
7.94,1.07,0.48,0.26,89.59,90.86,0.21
8.092,1.04,0.37,0.37,89.62,90.77,0.31
8.289,1.02,0.29,0.33,89.62,90.77,0.37
8.489,0.99,0.22,0.42,89.64,90.6,0.41
8.746,0.97,0.18,0.46,89.6,90.73,0.54
8.888,0.95,0.14,0.51,89.76,90.8,0.63
9.138,0.92,0.11,0.46,89.8,90.7,0.73
9.34,0.91,0.08,0.41,89.77,90.67,0.81
9.54,0.9,0.06,0.38,89.74,90.8,0.89
9.738,0.88,0.05,0.48,89.81,90.8,0.99
9.939,0.86,0.04,0.38,89.7,90.67,1.07
10.142,0.85,0.03,0.44,89.57,90.63,1.15
10.389,0.84,0.02,0.4,89.61,90.54,1.23
10.589,0.83,0.02,0.51,89.69,90.63,1.33
10.788,0.82,0.01,0.48,89.68,90.5,1.38
10.993,0.8,0.01,0.41,89.63,90.5,1.51
11.194,0.8,0.01,0.42,89.58,90.5,1.59
11.407,0.79,0.01,0.43,89.58,90.57,1.67
11.64,0.78,0.01,0.39,89.62,90.44,1.75
11.84,0.77,0.0,0.4,89.56,90.47,1.83
12.041,0.76,0.0,0.31,89.5,90.47,1.9
12.238,0.75,0.0,0.28,89.59,90.63,1.96
12.444,0.74,0.0,0.35,89.58,90.44,2.04
12.639,0.74,0.0,0.31,89.5,90.41,2.1
12.888,0.73,0.0,0.38,89.46,90.44,2.18
13.088,0.72,0.0,0.36,89.39,90.44,2.22
13.288,0.71,0.0,0.31,89.43,90.47,2.31
13.49,0.71,0.0,0.38,89.39,90.37,2.38
13.692,0.7,0.0,0.29,89.32,90.41,2.44
13.889,0.7,0.0,0.26,89.31,90.34,2.5
14.139,0.69,0.0,0.23,89.28,90.37,2.55
14.339,0.68,0.0,0.33,89.31,90.41,2.58
14.54,0.68,0.0,0.33,89.31,90.21,2.67
14.739,0.67,0.0,0.3,89.28,90.21,2.73
14.942,0.67,0.0,0.32,89.27,90.27,2.79
15.139,0.66,0.0,0.29,89.26,90.18,2.85
15.393,0.66,0.0,0.26,89.2,90.21,2.91
15.641,0.65,0.0,0.28,89.21,90.24,2.97
15.792,0.65,0.0,0.25,89.19,90.34,3.02
15.989,0.64,0.0,0.23,89.16,90.21,3.06
16.198,0.64,0.0,0.21,89.14,90.24,3.1
16.394,0.63,0.0,0.19,89.1,90.34,3.14
16.643,0.63,0.0,0.17,89.14,90.21,3.18
16.942,0.62,0.0,0.23,89.17,90.18,3.25
17.051,0.62,0.0,0.23,89.13,90.24,3.25
17.242,0.62,0.0,0.25,89.1,90.21,3.33
17.443,0.61,0.0,0.27,89.06,90.14,3.39
17.639,0.61,0.0,0.24,89.07,90.05,3.44
17.889,0.61,0.0,0.27,89.12,90.14,3.49
18.17,0.6,0.0,0.24,89.07,90.18,3.54
18.299,0.6,0.0,0.22,88.99,90.11,3.58
18.488,0.6,0.0,0.2,89.01,90.08,3.62
18.689,0.59,0.0,0.18,89.04,90.11,3.66
18.889,0.59,0.0,0.17,88.99,90.05,3.68
19.139,0.59,0.0,0.19,89.0,90.18,3.74
19.339,0.58,0.0,0.27,88.99,90.05,3.79
19.539,0.58,0.0,0.2,89.05,90.08,3.83
19.74,0.58,0.0,0.17,88.93,90.11,3.87
19.938,0.58,0.0,0.15,88.9,90.01,3.91
20.139,0.57,0.0,0.14,88.93,89.98,3.93
