espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,87.0,87.0,0.0
0.076,0.11,2.12,0.0,86.04,85.97,0.0
0.235,0.1,3.47,0.0,86.04,86.07,0.0
0.482,0.09,4.49,0.0,85.93,84.97,0.0
0.627,0.15,5.27,0.0,85.82,83.66,0.0
0.838,0.18,5.78,0.0,85.69,83.6,0.0
1.036,0.17,6.19,0.0,85.51,83.76,0.0
1.324,0.2,6.47,0.0,85.38,83.95,0.0
1.479,0.31,6.68,0.0,85.24,84.18,0.0
1.733,0.44,6.81,0.0,85.11,84.59,0.0
1.872,0.48,6.88,0.0,85.03,85.62,0.0
2.083,0.52,6.96,0.0,84.9,86.45,0.0
2.283,0.59,7.01,0.0,84.86,87.32,0.0
2.575,0.64,7.04,0.0,84.72,88.16,0.0
2.728,0.67,7.04,0.0,84.64,88.61,0.0
3.041,0.7,7.04,0.0,84.57,88.97,0.0
3.128,0.72,7.08,0.0,84.63,89.0,0.0
3.326,0.75,7.08,0.0,84.65,89.1,0.0
3.529,0.8,7.04,0.0,84.7,89.04,0.0
3.772,0.86,6.97,0.0,84.74,88.91,0.0
4.024,0.96,7.02,0.0,84.82,88.74,0.0
4.175,1.05,6.94,0.0,84.93,88.71,0.0
4.374,1.18,6.94,0.0,85.0,88.58,0.0
4.624,1.35,6.91,0.0,85.14,88.52,0.0
4.776,1.55,6.91,0.0,85.29,88.42,0.0
5.028,1.76,6.87,0.0,85.41,88.45,0.0
5.226,2.01,6.89,0.0,85.61,88.36,0.0
5.433,2.29,6.68,0.0,85.8,88.29,0.0
5.634,2.46,5.98,0.0,85.95,88.29,0.0
5.834,2.36,5.06,0.0,86.06,88.19,0.0
6.035,2.2,4.21,0.1,86.14,88.03,0.01
6.275,2.12,3.33,0.14,86.3,87.96,0.03
6.478,1.94,2.68,0.33,86.42,87.96,0.08
6.686,1.88,2.15,0.44,86.52,87.8,0.16
6.874,1.78,1.68,0.44,86.61,87.84,0.16
7.08,1.67,1.31,0.5,86.78,87.8,0.36
7.286,1.59,1.02,0.64,86.8,87.74,0.48
7.527,1.53,0.79,0.58,86.85,87.61,0.6
7.727,1.46,0.62,0.62,87.02,87.74,0.72
7.938,1.41,0.48,0.61,87.05,87.71,0.84
8.148,1.37,0.37,0.75,87.05,87.71,0.98
8.327,1.33,0.29,0.68,87.11,87.61,1.12
8.526,1.28,0.23,0.66,87.07,87.61,1.25
8.774,1.25,0.18,0.69,87.03,87.55,1.39
8.972,1.21,0.14,0.69,87.22,87.61,1.39
9.182,1.18,0.11,0.71,87.28,87.48,1.66
9.432,1.14,0.08,0.69,87.19,87.68,1.8
9.577,1.11,0.06,0.62,87.18,87.55,1.93
9.782,1.09,0.05,0.71,87.22,87.55,2.06
10.024,1.06,0.04,0.64,87.26,87.55,2.19
10.232,1.04,0.03,0.58,87.19,87.64,2.31
10.426,1.02,0.02,0.62,87.2,87.52,2.43
10.675,1.0,0.02,0.58,87.2,87.52,2.49
10.827,0.98,0.01,0.54,87.19,87.55,2.66
11.033,0.96,0.01,0.59,87.22,87.52,2.78
11.274,0.94,0.01,0.53,87.11,87.58,2.89
11.483,0.92,0.01,0.48,87.17,87.45,2.99
11.682,0.91,0.01,0.53,87.12,87.35,3.09
11.878,0.89,0.0,0.56,87.11,87.39,3.15
12.08,0.87,0.0,0.48,87.1,87.48,3.3
12.285,0.86,0.0,0.48,87.18,87.39,3.39
12.523,0.85,0.0,0.48,87.09,87.61,3.49
12.735,0.83,0.0,0.43,87.0,87.42,3.58
12.929,0.82,0.0,0.39,87.01,87.42,3.66
13.13,0.8,0.0,0.44,87.03,87.39,3.75
13.338,0.79,0.0,0.45,87.02,87.52,3.85
13.528,0.78,0.0,0.41,87.03,87.35,3.93
13.772,0.77,0.0,0.47,86.93,87.39,4.02
13.972,0.76,0.0,0.44,86.88,87.39,4.06
14.176,0.75,0.0,0.34,86.93,87.35,4.16
14.381,0.75,0.0,0.45,86.97,87.29,4.25
14.584,0.74,0.0,0.35,86.93,87.42,4.33
14.823,0.73,0.0,0.37,86.9,87.39,4.4
15.024,0.72,0.0,0.39,86.85,87.35,4.47
15.23,0.72,0.0,0.34,86.75,87.42,4.54
15.436,0.71,0.0,0.36,86.89,87.32,4.62
15.635,0.7,0.0,0.33,86.87,87.39,4.68
15.824,0.69,0.0,0.33,86.76,87.45,4.68
16.075,0.68,0.0,0.3,86.75,87.26,4.82
16.272,0.67,0.0,0.27,86.83,87.39,4.88
16.485,0.67,0.0,0.34,86.75,87.26,4.95
16.675,0.66,0.0,0.31,86.74,87.22,5.01
16.876,0.65,0.0,0.33,86.72,87.22,5.07
17.086,0.65,0.0,0.3,86.74,87.35,5.13
17.283,0.64,0.0,0.27,86.75,87.35,5.19
17.524,0.63,0.0,0.34,86.77,87.26,5.26
17.734,0.63,0.0,0.3,86.77,87.26,5.32
17.936,0.62,0.0,0.27,86.76,87.26,5.38
18.127,0.61,0.0,0.3,86.64,87.22,5.44
18.383,0.61,0.0,0.26,86.7,87.26,5.5
18.572,0.6,0.0,0.29,86.67,87.29,5.56
18.772,0.6,0.0,0.26,86.68,87.19,5.62
18.978,0.59,0.0,0.23,86.65,87.29,5.66
19.177,0.59,0.0,0.3,86.69,87.35,5.72
19.38,0.58,0.0,0.23,86.71,87.19,5.76
19.694,0.58,0.0,0.3,86.63,87.35,5.83
19.822,0.57,0.0,0.34,86.59,87.19,5.86
20.022,0.57,0.0,0.26,86.56,87.22,5.92
20.228,0.56,0.0,0.28,86.55,87.32,5.97
20.431,0.56,0.0,0.25,86.54,87.16,6.02
20.634,0.55,0.0,0.23,86.55,87.22,6.06
20.822,0.55,0.0,0.27,86.57,87.26,6.09
21.077,0.54,0.0,0.23,86.57,87.32,6.16
21.274,0.54,0.0,0.21,86.54,87.26,6.2
21.48,0.53,0.0,0.19,86.58,87.22,6.24
21.679,0.53,0.0,0.27,86.48,87.22,6.3
21.884,0.52,0.0,0.24,86.52,87.22,6.34
22.083,0.52,0.0,0.27,86.48,87.16,6.39
22.322,0.52,0.0,0.24,86.48,87.26,6.44
22.524,0.51,0.0,0.22,86.51,87.26,6.48
22.737,0.51,0.0,0.3,86.5,87.09,6.54
22.929,0.51,0.0,0.22,86.48,87.13,6.58
23.172,0.5,0.0,0.2,86.48,87.16,6.62
