espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.045,0.2,2.01,0.0,88.67,88.16,0.0
0.237,0.2,3.2,0.0,88.61,88.13,0.0
0.438,0.19,4.28,0.0,88.62,87.58,0.0
0.638,0.26,5.09,0.0,88.51,86.26,0.0
0.84,0.26,5.64,0.0,88.37,86.26,0.0
1.037,0.26,6.07,0.0,88.31,86.52,0.0
1.289,0.28,6.4,0.0,88.25,86.48,0.0
1.488,0.4,6.67,0.0,88.22,86.8,0.0
1.688,0.51,6.8,0.0,88.11,87.48,0.0
1.888,0.57,6.92,0.0,88.0,88.29,0.0
2.089,0.59,6.91,0.0,87.99,89.17,0.0
2.288,0.63,6.96,0.0,87.87,89.85,0.0
2.539,0.66,7.02,0.0,87.86,90.57,0.0
2.738,0.7,7.05,0.0,87.79,91.03,0.0
2.939,0.7,7.06,0.0,87.76,91.39,0.0
3.141,0.76,7.01,0.0,87.75,91.45,0.0
3.342,0.81,7.04,0.0,87.74,91.39,0.0
3.538,0.87,7.1,0.0,87.84,91.32,0.0
3.79,0.92,7.08,0.0,87.8,91.22,0.0
3.99,1.0,7.03,0.0,87.84,91.32,0.0
4.19,1.12,6.98,0.0,87.97,91.06,0.0
4.387,1.23,7.04,0.0,88.02,90.96,0.0
4.59,1.34,6.99,0.0,88.14,90.86,0.0
4.787,1.5,7.02,0.0,88.18,90.89,0.0
5.04,1.65,6.96,0.0,88.34,90.8,0.0
5.239,1.87,6.94,0.0,88.45,90.86,0.0
5.437,2.12,6.63,0.05,88.57,90.83,0.01
5.637,2.37,5.9,0.05,88.65,90.7,0.01
5.838,2.3,5.05,0.14,88.68,90.7,0.03
6.037,2.17,4.07,0.18,88.77,90.67,0.06
6.338,1.96,3.27,0.36,88.92,90.54,0.12
6.486,1.79,2.55,0.47,89.04,90.57,0.21
6.688,1.63,2.01,0.57,89.09,90.5,0.32
6.888,1.58,1.8,0.61,89.08,90.44,0.44
7.088,1.55,1.42,0.85,89.24,90.47,0.59
7.289,1.43,1.1,0.82,89.35,90.41,0.75
7.538,1.34,0.86,0.84,89.38,90.37,0.91
7.739,1.27,0.67,0.91,89.41,90.27,1.08
7.94,1.21,0.52,0.92,89.46,90.47,1.26
8.136,1.16,0.4,0.83,89.45,90.44,1.43
8.338,1.11,0.31,0.85,89.54,90.18,1.59
8.539,1.07,0.24,0.91,89.62,90.14,1.78
8.788,1.03,0.19,0.87,89.6,90.24,1.96
8.992,0.99,0.15,0.83,89.61,90.21,2.13
9.187,0.96,0.12,0.85,89.61,90.18,2.29
9.388,0.92,0.09,0.86,89.59,90.11,2.47
9.588,0.89,0.07,0.82,89.61,90.11,2.64
9.789,0.86,0.05,0.79,89.55,90.18,2.8
10.037,0.84,0.04,0.76,89.55,90.14,2.96
10.239,0.82,0.03,0.78,89.59,90.01,3.12
10.438,0.79,0.03,0.71,89.55,90.05,3.26
10.641,0.77,0.02,0.74,89.53,89.98,3.4
10.836,0.75,0.02,0.71,89.5,90.14,3.55
11.038,0.73,0.01,0.74,89.51,89.95,3.69
11.288,0.72,0.01,0.67,89.45,90.08,3.83
11.488,0.7,0.01,0.61,89.42,90.01,3.95
11.688,0.68,0.01,0.64,89.43,90.08,4.07
11.89,0.67,0.0,0.64,89.38,89.98,4.19
12.087,0.65,0.0,0.67,89.31,89.91,4.32
12.287,0.64,0.0,0.61,89.3,89.95,4.44
12.538,0.63,0.0,0.55,89.27,89.88,4.55
12.737,0.61,0.0,0.53,89.23,89.91,4.6
12.938,0.6,0.0,0.54,89.19,89.88,4.76
13.143,0.59,0.0,0.5,89.2,89.85,4.86
13.337,0.58,0.0,0.6,89.26,89.88,4.97
13.538,0.57,0.0,0.59,89.17,89.91,5.09
13.788,0.56,0.0,0.53,89.15,89.91,5.2
14.038,0.55,0.0,0.45,89.13,89.82,5.34
14.187,0.54,0.0,0.43,89.16,89.85,5.38
14.387,0.53,0.0,0.44,89.09,89.72,5.46
14.588,0.52,0.0,0.5,89.08,89.85,5.56
14.788,0.51,0.0,0.45,89.1,89.98,5.65
15.038,0.5,0.0,0.4,89.0,89.82,5.73
15.338,0.49,0.0,0.43,89.12,89.91,5.87
15.442,0.49,0.0,0.42,89.0,89.88,5.91
15.639,0.48,0.0,0.37,88.91,89.79,5.99
15.843,0.47,0.0,0.38,88.94,89.75,6.07
16.043,0.46,0.0,0.4,88.91,89.75,6.15
16.288,0.45,0.0,0.41,89.01,89.79,6.23
