espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.029,0.0,0.56,0.0,86.64,88.55,0.0
0.212,0.0,2.07,0.0,86.94,88.72,0.0
0.437,0.0,3.62,0.0,86.91,88.72,0.0
0.614,0.0,4.78,0.0,86.83,88.3,0.0
0.839,0.02,5.66,0.0,86.99,86.87,0.0
1.07,0.06,6.48,0.0,87.07,85.74,0.0
1.247,0.07,7.01,0.0,87.15,84.91,0.0
1.472,0.11,7.47,0.0,87.35,84.04,0.0
1.745,0.3,7.83,0.0,87.56,83.24,0.0
1.875,0.46,8.03,0.0,87.72,83.21,0.0
2.099,0.5,8.22,0.0,87.76,83.75,0.0
2.279,0.52,8.25,0.0,87.72,84.43,0.0
2.509,0.54,8.33,0.0,87.59,85.0,0.0
2.732,0.58,8.52,0.0,87.55,85.58,0.0
2.91,0.61,8.65,0.0,87.49,86.07,0.0
3.137,0.66,8.77,0.0,87.54,86.42,0.0
3.36,0.73,8.93,0.0,87.63,86.87,0.0
3.54,0.83,8.95,0.0,87.64,87.36,0.0
3.812,0.89,8.95,0.0,87.69,87.68,0.0
3.946,0.99,9.03,0.0,87.72,88.13,0.0
4.172,1.12,8.96,0.0,87.81,88.27,0.0
4.397,1.29,8.94,0.0,87.91,88.52,0.0
4.574,1.54,8.96,0.0,88.01,88.69,0.0
4.804,1.8,8.79,0.0,88.17,88.85,0.0
5.031,2.11,8.38,0.0,88.31,88.75,0.0
5.207,2.41,7.66,0.0,88.42,88.79,0.0
5.428,2.59,6.74,0.0,88.45,88.82,0.0
5.609,2.68,5.82,0.0,88.55,88.75,0.0
5.835,2.68,4.92,0.14,88.67,88.62,0.03
6.06,2.65,4.17,0.41,88.68,88.72,0.12
6.241,2.59,3.55,0.44,88.71,88.52,0.16
6.464,2.55,3.01,0.57,88.8,88.55,0.32
6.689,2.5,2.63,0.67,88.75,88.46,0.44
6.869,2.46,2.32,0.63,88.81,88.43,0.5
7.098,2.44,2.03,0.73,88.88,88.39,0.71
7.274,2.41,1.82,0.8,88.87,88.3,0.79
7.499,2.39,1.67,0.83,88.81,88.07,1.03
7.729,2.37,1.51,0.8,88.88,88.07,1.19
7.904,2.36,1.43,0.81,88.79,88.04,1.27
8.13,2.35,1.35,0.88,88.85,87.94,1.54
8.354,2.34,1.29,0.88,88.92,87.75,1.63
8.535,2.33,1.27,0.89,88.88,87.75,1.81
8.764,2.33,1.26,0.96,88.84,87.71,2.09
