espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.081,0.08,2.28,0.0,89.28,89.17,0.0
0.219,0.05,3.56,0.0,89.28,89.04,0.0
0.42,0.05,4.63,0.0,89.15,88.48,0.0
0.62,0.14,5.36,0.0,88.95,87.32,0.0
0.971,0.17,5.97,0.0,88.84,87.29,0.0
1.073,0.13,6.25,0.0,88.7,87.22,0.0
1.271,0.15,6.53,0.0,88.58,87.26,0.0
1.469,0.23,6.67,0.0,88.4,87.32,0.0
1.67,0.34,6.81,0.0,88.3,87.96,0.0
1.87,0.43,6.86,0.0,88.17,88.61,0.0
2.122,0.5,6.93,0.0,88.17,89.49,0.0
2.32,0.55,6.97,0.0,88.08,90.18,0.0
2.521,0.59,6.99,0.0,88.01,90.86,0.0
2.721,0.67,7.0,0.0,88.01,91.26,0.0
2.921,0.73,7.09,0.0,88.02,91.59,0.0
3.121,0.78,7.03,0.0,87.95,91.88,0.0
3.373,0.83,7.0,0.0,87.97,91.78,0.0
3.572,0.95,7.04,0.0,88.11,91.55,0.0
3.771,1.05,6.98,0.0,88.11,91.68,0.0
3.971,1.16,6.96,0.0,88.26,91.42,0.0
4.169,1.37,6.93,0.0,88.37,91.32,0.0
4.369,1.58,6.86,0.0,88.51,91.22,0.0
4.619,1.79,6.88,0.0,88.59,91.09,0.0
4.823,2.03,6.84,0.0,88.8,91.03,0.0
5.221,2.27,6.88,0.0,89.0,90.96,0.0
5.239,2.51,6.45,0.0,89.13,90.89,0.0
5.419,2.51,5.63,0.0,89.24,90.86,0.0
5.619,2.35,4.71,0.0,89.42,90.99,0.0
5.871,2.23,3.87,0.0,89.5,90.73,0.0
6.071,2.12,3.12,0.0,89.61,90.7,0.0
6.271,1.99,2.43,0.1,89.7,90.77,0.02
6.469,1.86,1.89,0.28,89.81,90.6,0.08
6.673,1.79,1.59,0.45,89.88,90.57,0.15
6.87,1.81,1.28,0.51,89.96,90.57,0.24
7.119,1.77,1.0,0.5,90.02,90.41,0.35
7.373,1.7,0.78,0.46,90.08,90.47,0.44
