espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,89.0,89.0,0.0
0.012,0.01,0.57,0.0,85.91,87.97,0.0
0.214,0.0,1.56,0.0,86.08,88.0,-0.01
0.44,0.0,2.14,0.01,86.18,88.1,-0.01
0.621,0.0,2.62,0.01,86.2,87.75,-0.01
0.897,0.0,3.05,0.01,86.26,87.45,-0.01
1.022,0.03,3.31,0.01,86.23,86.81,-0.01
1.25,0.07,3.5,0.01,86.2,85.07,-0.01
1.472,0.09,3.66,0.01,86.25,83.24,-0.01
1.655,0.07,3.76,0.01,86.22,81.96,-0.01
1.88,0.1,3.85,0.01,86.18,81.23,-0.01
2.058,0.15,3.91,0.01,86.19,80.94,-0.01
2.287,0.27,3.95,0.01,86.32,80.94,-0.01
2.51,0.39,3.96,0.01,86.35,81.29,-0.01
2.688,0.46,3.98,0.01,86.39,81.8,-0.01
2.915,0.41,3.99,0.01,86.37,82.44,-0.01
3.14,0.38,4.0,0.01,86.46,83.05,-0.01
3.321,0.42,4.0,0.01,86.49,83.72,-0.01
3.551,0.51,4.02,0.01,86.47,84.49,-0.01
3.77,0.49,4.01,0.01,86.49,85.1,-0.01
3.947,0.54,4.01,0.01,86.5,85.97,-0.01
4.175,0.59,4.06,0.01,86.57,86.68,-0.01
4.352,0.6,4.01,0.01,86.63,87.42,-0.01
4.58,0.59,4.0,0.01,86.71,88.07,-0.01
4.807,0.62,4.02,0.01,86.73,88.79,-0.01
4.982,0.64,3.99,0.01,86.83,89.4,-0.01
5.209,0.68,3.97,0.01,86.95,89.89,-0.01
5.437,0.71,4.0,0.01,87.12,90.32,-0.01
5.613,0.75,3.98,0.01,87.21,90.75,-0.01
5.841,0.78,3.99,0.01,87.29,91.14,-0.01
6.018,0.85,4.02,0.01,87.39,91.47,-0.01
6.249,0.9,4.03,0.01,87.47,91.67,-0.01
6.467,0.96,3.97,0.01,87.7,91.96,-0.01
6.647,1.01,3.94,0.01,87.86,92.03,-0.01
6.875,1.07,4.01,0.01,88.07,92.09,-0.01
7.1,1.14,4.03,0.01,88.11,92.23,-0.01
7.327,1.18,4.04,0.01,88.28,92.29,-0.01
7.507,1.27,4.02,0.01,88.48,92.29,-0.01
7.682,1.32,4.02,0.01,88.47,92.13,-0.01
7.909,1.38,3.93,0.01,88.55,92.06,-0.01
8.134,1.46,4.03,0.01,88.71,92.06,-0.01
8.314,1.52,3.99,0.01,88.76,91.93,-0.01
8.587,1.58,4.02,0.01,88.84,91.63,-0.01
8.765,1.69,4.01,0.01,88.9,91.57,-0.01
8.942,1.81,4.01,0.01,89.06,91.6,-0.01
9.17,1.9,4.03,0.01,89.07,91.47,-0.01
9.396,2.02,3.96,0.01,89.11,91.54,-0.01
9.573,2.19,3.98,0.01,89.13,91.54,-0.01
9.89,2.32,3.97,0.01,89.22,91.57,-0.01
9.979,2.47,3.96,0.01,89.31,91.57,-0.01
10.201,2.59,3.6,0.01,89.31,91.5,-0.01
10.472,2.53,3.05,0.01,89.31,91.47,-0.01
10.606,2.37,2.62,0.01,89.37,91.34,-0.01
10.833,2.29,2.07,0.01,89.44,91.34,-0.01
11.148,2.1,1.61,0.01,89.44,91.5,-0.01
11.252,1.95,1.25,0.01,89.43,91.4,-0.01
11.463,1.88,0.98,0.01,89.48,91.34,-0.01
11.642,1.83,0.9,0.01,89.51,91.34,-0.01
11.868,1.82,0.71,0.01,89.51,91.2,-0.01
12.095,1.77,0.55,0.06,89.41,91.14,-0.0
12.271,1.7,0.43,0.05,89.45,91.17,0.01
12.498,1.65,0.34,0.05,89.48,91.17,0.01
12.723,1.61,0.26,0.09,89.39,91.07,0.04
12.903,1.56,0.2,0.08,89.38,90.98,0.05
13.13,1.53,0.16,0.07,89.35,91.04,0.07
13.307,1.51,0.12,0.24,89.34,90.91,0.14
13.54,1.47,0.1,0.18,89.33,90.91,0.16
13.757,1.44,0.07,0.2,89.33,90.98,0.22
13.942,1.42,0.06,0.23,89.28,90.88,0.26
14.163,1.4,0.04,0.27,89.28,90.88,0.29
14.388,1.38,0.03,0.19,89.27,90.88,0.35
14.569,1.35,0.03,0.18,89.27,90.78,0.37
14.793,1.34,0.02,0.21,89.29,90.78,0.41
15.018,1.32,0.02,0.27,89.21,90.75,0.49
15.197,1.3,0.01,0.26,89.15,90.78,0.52
15.424,1.29,0.01,0.32,89.12,90.78,0.59
15.602,1.28,0.01,0.31,89.12,90.64,0.62
15.827,1.26,0.01,0.29,89.12,90.64,0.65
16.053,1.25,0.0,0.24,89.1,90.58,0.74
16.278,1.23,0.0,0.23,89.09,90.52,0.76
16.457,1.22,0.0,0.29,89.09,90.55,0.84
16.683,1.21,0.0,0.28,89.05,90.55,0.87
16.863,1.2,0.0,0.3,89.02,90.55,0.93
17.088,1.19,0.0,0.26,89.08,90.48,1.02
17.268,1.18,0.0,0.24,89.05,90.52,1.04
17.538,1.17,0.0,0.25,88.98,90.35,1.12
17.717,1.16,0.0,0.25,89.04,90.42,1.12
17.899,1.15,0.0,0.22,89.06,90.35,1.18
18.125,1.15,0.0,0.19,88.96,90.32,1.24
18.351,1.14,0.0,0.18,88.93,90.35,1.26
18.527,1.13,0.0,0.26,88.95,90.19,1.31
18.843,1.12,0.0,0.22,88.9,90.25,1.37
18.936,1.11,0.0,0.22,88.92,90.29,1.39
19.157,1.11,0.0,0.18,88.88,90.16,1.45
19.384,1.1,0.0,0.18,88.87,90.19,1.47
19.563,1.09,0.0,0.2,88.82,90.19,1.51
19.788,1.09,0.0,0.17,88.81,90.16,1.57
20.058,1.08,0.0,0.22,88.87,90.05,1.59
20.192,1.08,0.0,0.22,88.79,89.99,1.59
20.417,1.07,0.0,0.21,88.81,90.16,1.7
20.597,1.07,0.0,0.21,88.73,90.09,1.7
20.823,1.06,0.0,0.22,88.79,90.12,1.78
21.048,1.06,0.0,0.21,88.8,90.05,1.8
21.228,1.05,0.0,0.19,88.74,90.02,1.84
21.453,1.05,0.0,0.21,88.72,89.96,1.9
