espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,88.5,88.5,0.0
0.049,0.11,2.16,0.0,87.01,87.26,0.0
0.24,0.09,3.46,0.0,87.01,87.09,0.0
0.44,0.09,4.52,0.0,86.89,85.71,0.0
0.639,0.14,5.26,0.0,86.76,84.33,0.0
0.839,0.16,5.8,0.0,86.57,84.46,0.0
1.041,0.22,6.19,0.0,86.38,84.75,0.0
1.239,0.37,6.49,0.0,86.29,85.29,0.0
1.488,0.5,6.63,0.0,86.18,86.03,0.0
1.69,0.5,6.76,0.0,86.05,87.19,0.0
1.89,0.58,6.85,0.0,85.93,88.23,0.0
2.095,0.66,6.91,0.0,85.82,89.04,0.0
2.29,0.69,6.97,0.0,85.73,89.88,0.0
2.487,0.72,6.99,0.0,85.64,90.24,0.0
2.74,0.78,6.98,0.0,85.59,90.6,0.0
2.94,0.82,6.96,0.0,85.58,90.8,0.0
3.141,0.92,7.03,0.0,85.61,90.89,0.0
3.338,0.98,7.0,0.0,85.65,90.86,0.0
3.538,1.08,7.02,0.0,85.72,90.63,0.0
3.737,1.21,6.97,0.0,85.89,90.5,0.0
3.99,1.37,6.97,0.0,86.01,90.34,0.0
4.239,1.52,6.96,0.0,86.11,90.21,0.0
4.388,1.69,6.99,0.0,86.31,90.18,0.0
4.589,1.89,6.92,0.0,86.48,90.08,0.0
4.818,2.1,6.9,0.0,86.68,89.85,0.0
4.987,2.36,6.64,0.0,86.89,89.91,0.0
5.24,2.36,5.88,0.0,86.95,89.69,0.0
5.489,2.17,4.93,0.0,87.19,89.72,0.0
5.638,2.02,4.05,0.0,87.38,89.55,0.0
5.839,1.9,3.24,0.0,87.44,89.59,0.0
6.04,1.77,2.53,0.15,87.66,89.39,0.02
6.242,1.67,2.2,0.28,87.84,89.43,0.07
6.492,1.7,1.76,0.58,87.92,89.49,0.2
6.691,1.61,1.37,0.55,87.96,89.27,0.26
6.89,1.51,1.07,0.5,88.11,89.27,0.36
7.094,1.46,0.83,0.54,88.13,89.27,0.47
7.288,1.41,0.64,0.59,88.21,89.23,0.58
7.487,1.36,0.5,0.63,88.24,89.17,0.7
7.738,1.32,0.39,0.64,88.29,89.2,0.89
7.939,1.28,0.3,0.66,88.37,89.2,0.96
8.139,1.24,0.24,0.64,88.42,89.13,1.08
8.339,1.21,0.18,0.58,88.48,89.13,1.2
8.539,1.18,0.14,0.67,88.45,89.04,1.34
8.74,1.17,0.11,0.6,88.4,89.1,1.46
8.989,1.15,0.09,0.52,88.44,89.04,1.62
9.189,1.12,0.07,0.54,88.47,89.17,1.67
9.389,1.1,0.05,0.64,88.38,89.0,1.79
9.589,1.08,0.04,0.58,88.4,89.1,1.91
9.794,1.07,0.03,0.57,88.4,89.1,2.02
9.988,1.05,0.02,0.51,88.44,89.07,2.12
10.239,1.04,0.02,0.49,88.44,88.97,2.27
10.439,1.02,0.01,0.51,88.46,89.0,2.32
10.69,1.01,0.01,0.49,88.36,89.07,2.37
10.837,0.99,0.01,0.47,88.35,88.97,2.52
11.037,0.98,0.01,0.42,88.38,89.04,2.6
11.239,0.97,0.01,0.47,88.33,88.97,2.7
11.437,0.96,0.0,0.42,88.41,88.97,2.79
11.689,0.95,0.0,0.38,88.33,88.91,2.87
11.889,0.94,0.0,0.37,88.35,89.04,2.91
12.092,0.93,0.0,0.35,88.28,89.0,3.03
12.288,0.92,0.0,0.36,88.24,88.97,3.11
