espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.058,0.15,2.38,0.0,88.86,88.65,0.0
0.146,0.12,3.75,0.0,88.75,88.36,0.0
0.346,0.16,4.71,0.0,88.61,86.58,0.0
0.598,0.23,5.43,0.0,88.49,85.17,0.0
0.796,0.27,5.9,0.0,88.34,85.68,0.0
0.998,0.34,6.25,0.0,88.18,86.16,0.0
1.198,0.55,6.5,0.0,87.99,87.03,0.0
1.398,0.63,6.65,0.0,87.85,88.13,0.0
1.596,0.63,6.76,0.0,87.79,89.23,0.0
1.848,0.68,6.89,0.0,87.62,90.27,0.0
2.05,0.72,6.94,0.0,87.54,91.06,0.0
2.248,0.73,7.03,0.0,87.48,91.68,0.0
2.499,0.78,7.07,0.0,87.41,92.05,0.0
2.648,0.79,7.03,0.0,87.39,92.25,0.0
2.848,0.82,7.03,0.0,87.33,92.54,0.0
3.098,0.89,7.01,0.0,87.45,92.28,0.0
3.3,0.99,6.97,0.0,87.52,92.25,0.0
3.498,1.08,7.0,0.0,87.56,92.18,0.0
3.798,1.2,6.94,0.0,87.69,92.01,0.0
3.896,1.35,6.94,0.0,87.86,91.82,0.0
4.103,1.52,6.94,0.0,87.99,91.72,0.0
4.346,1.68,6.91,0.0,88.11,91.65,0.0
4.546,1.84,6.92,0.0,88.32,91.62,0.0
4.796,2.02,6.57,0.0,88.52,91.42,0.0
4.946,1.94,5.79,0.0,88.64,91.39,0.0
5.146,1.68,4.83,0.0,88.77,91.32,0.0
5.348,1.5,3.98,0.0,88.96,91.29,0.0
5.598,1.4,3.21,0.0,89.09,91.09,0.0
5.798,1.34,2.59,0.0,89.27,91.16,0.0
6.048,1.27,2.02,0.0,89.38,90.89,0.0
6.196,1.17,1.57,0.0,89.47,90.8,0.0
6.398,1.12,1.22,0.0,89.54,90.86,0.0
6.596,1.1,0.95,0.1,89.6,90.77,0.01
6.848,1.06,0.74,0.13,89.62,90.83,0.05
7.048,1.04,0.57,0.18,89.74,90.83,0.07
7.248,1.01,0.45,0.2,89.79,90.7,0.12
7.451,0.99,0.35,0.23,89.83,90.7,0.16
7.648,0.98,0.27,0.41,89.84,90.57,0.23
7.847,0.96,0.21,0.42,89.81,90.6,0.31
8.098,0.95,0.16,0.37,89.89,90.63,0.41
8.299,0.93,0.13,0.43,89.91,90.6,0.49
8.498,0.92,0.1,0.36,89.93,90.73,0.53
8.698,0.9,0.08,0.37,89.98,90.6,0.6
8.9,0.89,0.06,0.4,89.91,90.54,0.64
9.098,0.88,0.05,0.39,89.83,90.54,0.76
9.348,0.87,0.04,0.33,89.84,90.63,0.87
9.546,0.86,0.03,0.32,89.83,90.54,0.9
9.751,0.85,0.02,0.38,89.85,90.5,0.98
9.954,0.85,0.02,0.29,89.86,90.57,1.05
10.197,0.84,0.01,0.34,89.88,90.5,1.15
10.347,0.83,0.01,0.32,89.79,90.57,1.18
10.548,0.83,0.01,0.3,89.74,90.6,1.24
10.798,0.82,0.01,0.31,89.76,90.5,1.3
11.002,0.81,0.0,0.29,89.72,90.34,1.36
11.197,0.81,0.0,0.25,89.74,90.47,1.42
11.448,0.8,0.0,0.33,89.71,90.41,1.47
11.596,0.8,0.0,0.3,89.68,90.44,1.53
11.848,0.8,0.0,0.25,89.68,90.34,1.62
12.048,0.79,0.0,0.24,89.66,90.34,1.64
12.248,0.79,0.0,0.22,89.65,90.41,1.68
12.448,0.78,0.0,0.2,89.57,90.34,1.72
12.651,0.78,0.0,0.23,89.57,90.34,1.76
12.848,0.78,0.0,0.25,89.58,90.34,1.82
13.048,0.77,0.0,0.23,89.61,90.41,1.86
13.298,0.77,0.0,0.26,89.59,90.34,1.91
13.499,0.77,0.0,0.24,89.53,90.41,1.95
13.698,0.77,0.0,0.22,89.5,90.44,1.99
13.904,0.78,0.0,0.24,89.48,90.44,2.04
14.1,0.79,0.0,0.22,89.48,90.41,2.08
14.298,0.78,0.0,0.2,89.51,90.34,2.12
14.548,0.78,0.0,0.18,89.52,90.31,2.16
14.748,0.78,0.0,0.16,89.45,90.37,2.2
14.95,0.77,0.0,0.14,89.42,90.31,2.22
15.146,0.77,0.0,0.14,89.41,90.37,2.24
15.349,0.77,0.0,0.12,89.4,90.27,2.26
15.548,0.77,0.0,0.11,89.37,90.24,2.28
15.798,0.77,0.0,0.1,89.37,90.24,2.3
16.0,0.76,0.0,0.1,89.39,90.14,2.32
16.198,0.76,0.0,0.08,89.4,90.21,2.34
16.397,0.76,0.0,0.12,89.45,90.21,2.36
16.6,0.76,0.0,0.16,89.3,90.21,2.4
16.798,0.76,0.0,0.19,89.3,90.21,2.44
17.048,0.75,0.0,0.22,89.27,90.08,2.48
17.248,0.75,0.0,0.2,89.25,90.27,2.52
17.451,0.75,0.0,0.18,89.39,90.14,2.56
17.646,0.75,0.0,0.16,89.29,90.24,2.6
17.848,0.75,0.0,0.15,89.3,90.27,2.61
18.048,0.75,0.0,0.14,89.37,90.18,2.64
18.298,0.75,0.0,0.12,89.33,90.21,2.66
18.498,0.74,0.0,0.11,89.24,90.05,2.68
18.698,0.74,0.0,0.15,89.23,90.24,2.71
18.898,0.74,0.0,0.14,89.23,90.08,2.73
19.148,0.74,0.0,0.13,89.24,90.14,2.76
19.296,0.74,0.0,0.12,89.27,90.08,2.77
19.548,0.74,0.0,0.11,89.26,90.11,2.79
19.747,0.74,0.0,0.1,89.2,90.08,2.81
19.948,0.74,0.0,0.09,89.27,90.05,2.83
20.151,0.73,0.0,0.08,89.25,90.18,2.85
20.396,0.73,0.0,0.07,89.22,90.08,2.87
20.546,0.73,0.0,0.06,89.12,89.98,2.89
20.798,0.73,0.0,0.05,89.17,90.14,2.91
20.998,0.73,0.0,0.05,89.17,89.98,2.91
21.198,0.73,0.0,0.05,89.13,90.08,2.91
21.398,0.73,0.0,0.14,89.09,90.11,2.93
21.6,0.73,0.0,0.08,89.17,90.08,2.95
21.798,0.73,0.0,0.07,89.11,90.11,2.97
22.048,0.73,0.0,0.06,89.09,90.01,2.99
22.248,0.73,0.0,0.05,89.1,89.91,3.0
22.448,0.73,0.0,0.05,89.09,90.05,3.0
22.652,0.72,0.0,0.14,89.06,89.91,3.02
22.848,0.72,0.0,0.14,89.03,90.08,3.04
23.048,0.72,0.0,0.07,89.06,90.08,3.06
23.298,0.72,0.0,0.11,89.05,89.91,3.08
23.498,0.72,0.0,0.1,89.05,89.91,3.1
23.698,0.72,0.0,0.14,89.06,89.98,3.13
23.901,0.72,0.0,0.13,89.09,89.85,3.15
24.097,0.72,0.0,0.12,88.99,89.95,3.17
24.298,0.72,0.0,0.11,88.96,89.91,3.18
24.546,0.72,0.0,0.1,88.99,89.85,3.21
24.746,0.71,0.0,0.09,88.97,89.82,3.23
24.948,0.71,0.0,0.08,88.9,89.85,3.25
25.146,0.71,0.0,0.12,88.92,89.82,3.27
25.348,0.71,0.0,0.06,88.96,89.79,3.29
25.548,0.71,0.0,0.05,88.95,89.88,3.3
25.798,0.71,0.0,0.05,88.89,89.75,3.3
25.998,0.71,0.0,0.1,88.88,89.85,3.31
26.2,0.71,0.0,0.09,88.86,89.75,3.33
26.398,0.71,0.0,0.08,88.85,89.75,3.35
26.598,0.71,0.0,0.07,88.92,89.85,3.37
26.8,0.71,0.0,0.06,88.89,89.79,3.39
27.048,0.7,0.0,0.05,88.77,89.79,3.41
27.248,0.7,0.0,0.05,88.77,89.75,3.41
27.448,0.7,0.0,0.05,88.76,89.69,3.41
27.648,0.7,0.0,0.05,88.77,89.75,3.41
27.848,0.7,0.0,0.14,88.76,89.66,3.43
28.098,0.7,0.0,0.08,88.77,89.79,3.45
28.298,0.7,0.0,0.12,88.77,89.66,3.47
28.498,0.7,0.0,0.06,88.7,89.62,3.49
28.701,0.7,0.0,0.1,88.65,89.69,3.51
28.9,0.7,0.0,0.0,88.69,89.52,3.51
29.097,0.69,0.0,0.1,88.71,89.66,3.52
29.398,0.69,0.0,0.04,88.76,89.62,3.52
29.546,0.69,0.0,0.09,88.65,89.49,3.53
29.747,0.69,0.0,0.03,88.56,89.55,3.53
29.952,0.69,0.0,0.08,88.62,89.55,3.54
30.146,0.69,0.0,0.03,88.6,89.49,3.54
30.346,0.69,0.0,0.13,88.61,89.49,3.55
30.548,0.69,0.0,0.07,88.62,89.52,3.57
30.798,0.69,0.0,0.16,88.49,89.46,3.6
30.998,0.69,0.0,0.04,88.48,89.43,3.61
31.2,0.69,0.0,0.14,88.5,89.43,3.62
31.396,0.69,0.0,0.04,88.52,89.43,3.62
31.597,0.69,0.0,0.09,88.53,89.49,3.63
31.798,0.68,0.0,0.08,88.51,89.36,3.65
32.048,0.68,0.0,0.07,88.44,89.39,3.67
32.248,0.68,0.0,0.06,88.46,89.3,3.69
32.45,0.68,0.0,0.05,88.49,89.3,3.71
32.654,0.68,0.0,0.04,88.48,89.33,3.72
32.85,0.68,0.0,0.04,88.44,89.36,3.72
33.048,0.68,0.0,0.04,88.38,89.33,3.72
33.298,0.68,0.0,0.04,88.33,89.33,3.72
33.498,0.67,0.0,0.04,88.33,89.39,3.72
33.699,0.67,0.0,0.04,88.38,89.3,3.72
33.902,0.67,0.0,0.04,88.34,89.27,3.73
34.105,0.67,0.0,0.09,88.39,89.17,3.74
34.297,0.67,0.0,0.13,88.27,89.17,3.76
34.551,0.67,0.0,0.06,88.22,89.2,3.78
34.749,0.67,0.0,0.1,88.21,89.1,3.8
34.946,0.67,0.11,0.05,88.28,89.2,3.81
35.146,0.74,0.15,0.09,88.26,89.07,3.83
35.346,0.74,0.12,0.04,88.13,89.07,3.83
35.548,0.69,0.23,0.09,88.17,89.04,3.84
35.797,0.77,0.37,0.0,88.19,88.88,3.84
35.998,0.84,0.54,0.03,88.19,88.61,3.84
36.202,0.89,0.66,0.02,88.2,88.23,3.85
36.398,0.93,0.83,0.02,88.12,87.68,3.85
36.598,0.98,1.06,0.07,88.08,87.06,3.87
36.796,1.07,1.29,0.06,88.09,86.23,3.89
37.048,1.15,1.54,0.1,88.02,85.65,3.91
37.248,1.25,1.75,0.09,88.1,84.78,3.93
37.446,1.37,1.96,0.08,88.06,83.89,3.95
37.648,1.49,2.11,0.07,88.08,83.28,3.97
37.846,1.6,2.25,0.06,88.16,82.7,3.99
38.048,1.72,2.3,0.05,88.14,82.45,4.0
38.348,1.84,2.41,0.05,88.09,82.23,4.0
38.496,2.0,2.4,0.05,88.07,82.29,4.0
38.698,2.09,2.35,0.1,88.06,82.51,4.02
38.898,2.18,2.39,0.08,88.07,82.83,4.04
39.106,2.29,2.43,0.18,88.13,83.12,4.07
39.298,2.37,2.51,0.16,88.11,83.5,4.11
39.6,2.5,2.56,0.29,88.0,84.02,4.16
39.746,2.62,2.64,0.4,88.02,84.27,4.23
39.95,2.73,2.7,0.61,88.06,84.85,4.34
40.147,2.8,2.75,0.74,87.96,85.17,4.48
40.346,2.89,2.81,0.92,87.94,85.62,4.65
40.546,3.01,2.95,1.08,87.91,85.65,4.86
40.796,3.08,3.08,1.26,87.88,85.87,5.11
40.996,3.2,3.18,1.43,87.88,85.81,5.38
41.202,3.27,3.4,1.59,87.85,85.91,5.69
41.396,3.41,3.57,1.82,87.73,85.71,6.04
41.596,3.53,3.72,1.99,87.65,85.78,6.43
41.798,3.63,3.92,2.18,87.6,85.65,6.86
42.048,3.75,4.08,2.31,87.56,85.84,7.31
42.248,3.78,4.27,2.58,87.56,85.87,7.81
42.45,3.85,4.52,2.71,87.42,86.03,8.34
42.648,3.98,4.72,2.84,87.47,86.36,8.9
42.846,4.06,4.89,3.01,87.36,86.55,9.49
43.05,4.11,4.93,3.15,87.33,86.96,10.12
43.299,4.11,4.94,3.28,87.31,87.09,10.77
43.499,4.12,4.99,3.4,87.31,87.32,11.44
43.696,4.11,5.05,3.46,87.32,87.58,12.13
43.896,4.14,5.03,3.51,87.19,87.68,12.83
44.098,4.17,5.06,3.61,87.19,87.8,13.55
44.3,4.19,5.05,3.69,87.12,87.84,14.29
44.546,4.35,4.96,3.72,87.12,87.84,15.03
44.746,4.36,4.96,3.75,87.13,87.93,15.78
44.948,4.37,4.95,3.82,87.11,88.0,16.54
45.147,4.41,4.92,3.84,87.14,87.9,17.3
45.348,4.44,4.96,3.91,87.1,87.9,18.08
45.549,4.5,4.99,3.92,87.1,87.87,18.86
45.798,4.53,5.04,3.92,87.11,87.93,19.64
45.996,4.58,5.01,3.93,87.09,87.74,20.42
46.203,4.58,4.97,3.99,87.07,87.64,21.22
46.398,4.54,4.94,3.99,87.1,87.71,22.02
46.596,4.52,4.93,4.04,87.14,87.64,22.82
46.797,4.52,4.91,4.04,87.08,87.58,23.62
47.048,4.5,4.86,4.04,87.13,87.52,24.42
47.296,4.44,4.85,4.04,87.2,87.52,25.22
47.455,4.43,4.85,4.04,87.25,87.48,26.02

