espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.132,0.14,2.51,0.0,88.19,87.42,0.0
0.224,0.13,3.81,0.0,88.07,87.16,0.0
0.474,0.17,4.75,0.0,88.0,86.07,0.0
0.623,0.21,5.43,0.0,87.87,85.94,0.0
0.825,0.26,5.86,0.0,87.67,86.42,0.0
1.025,0.41,6.27,0.0,87.48,86.87,0.0
1.275,0.55,6.49,0.0,87.26,87.71,0.0
1.475,0.57,6.67,0.0,87.08,88.78,0.0
1.675,0.59,6.78,0.0,87.04,89.75,0.0
1.875,0.62,6.92,0.0,86.86,90.5,0.0
2.075,0.63,6.94,0.0,86.83,91.22,0.0
2.275,0.66,6.99,0.0,86.72,91.72,0.0
2.475,0.68,6.99,0.0,86.65,91.95,0.0
2.725,0.72,7.05,0.0,86.66,92.11,0.0
2.975,0.72,7.03,0.0,86.72,92.14,0.0
3.124,0.78,7.01,0.0,86.8,92.11,0.0
3.325,0.84,6.99,0.0,86.85,91.98,0.0
3.525,0.92,7.03,0.0,87.0,91.91,0.0
3.725,1.01,6.99,0.0,87.12,91.82,0.0
3.976,1.12,6.99,0.0,87.26,91.62,0.0
4.225,1.24,6.95,0.0,87.4,91.68,0.0
4.376,1.41,6.92,0.0,87.64,91.62,0.0
4.577,1.58,6.93,0.0,87.85,91.39,0.0
4.776,1.76,6.97,0.0,88.03,91.39,0.0
5.065,1.95,6.92,0.0,88.16,91.29,0.0
5.224,2.19,6.41,0.19,88.33,91.26,0.04
5.424,2.17,5.65,0.52,88.59,91.22,0.12
5.624,1.95,4.67,0.71,88.76,91.16,0.25
5.825,1.7,3.88,0.94,88.88,91.03,0.42
6.028,1.61,3.12,1.04,89.08,90.99,0.62
6.23,1.43,2.43,1.09,89.21,90.86,0.84
6.475,1.29,1.89,1.27,89.31,90.86,1.09
6.676,1.2,1.56,1.19,89.42,90.83,1.34
6.875,1.19,1.29,1.27,89.56,90.8,1.59
7.074,1.12,1.01,1.29,89.63,90.73,1.86
7.276,1.05,0.79,1.25,89.72,90.7,2.12
7.475,1.0,0.61,1.27,89.8,90.67,2.38
7.725,0.95,0.48,1.25,89.83,90.63,2.63
7.926,0.91,0.37,1.23,89.85,90.63,2.87
8.125,0.88,0.29,1.22,89.94,90.63,2.99
8.33,0.85,0.22,1.14,89.98,90.63,3.33
8.524,0.82,0.17,1.17,89.99,90.54,3.57
8.725,0.8,0.14,1.06,90.03,90.73,3.79
8.975,0.78,0.11,1.05,90.02,90.67,4.0
9.176,0.76,0.08,1.04,90.01,90.63,4.21
9.377,0.74,0.06,0.99,90.04,90.44,4.41
9.575,0.72,0.05,0.95,90.06,90.57,4.6
9.782,0.7,0.04,0.9,90.02,90.57,4.78
9.975,0.69,0.03,0.91,90.03,90.5,4.97
10.226,0.67,0.02,0.82,90.01,90.5,5.14
10.424,0.66,0.02,0.84,89.96,90.44,5.3
10.624,0.64,0.01,0.81,89.99,90.37,5.46
10.83,0.63,0.01,0.78,90.03,90.34,5.62
11.024,0.62,0.01,0.75,89.86,90.34,5.77
11.225,0.61,0.01,0.72,89.85,90.34,5.92
11.475,0.6,0.01,0.66,89.88,90.31,6.06
11.675,0.59,0.0,0.69,89.83,90.41,6.19
11.925,0.58,0.0,0.62,89.73,90.27,6.32
12.074,0.57,0.0,0.61,89.8,90.34,6.44
12.275,0.56,0.0,0.55,89.75,90.27,6.55
12.474,0.56,0.0,0.65,89.66,90.41,6.67
12.724,0.55,0.0,0.59,89.68,90.27,6.79
12.925,0.54,0.0,0.53,89.66,90.27,6.9
13.227,0.53,0.0,0.5,89.6,90.31,7.05
13.332,0.53,0.0,0.53,89.63,90.24,7.1
13.525,0.52,0.0,0.48,89.59,90.31,7.2
13.725,0.51,0.0,0.47,89.55,90.34,7.3
13.975,0.51,0.0,0.47,89.51,90.18,7.4
14.173,0.5,0.0,0.38,89.51,90.41,7.48
14.376,0.5,0.0,0.34,89.53,90.14,7.55
14.574,0.49,0.0,0.51,89.42,90.27,7.64
14.775,0.48,0.0,0.41,89.39,90.18,7.73
15.024,0.48,0.0,0.4,89.43,90.18,7.85
15.224,0.47,0.0,0.38,89.46,90.14,7.89
15.426,0.47,0.0,0.34,89.44,90.31,7.96
15.625,0.46,0.0,0.4,89.32,90.21,8.03
15.825,0.46,0.0,0.37,89.34,90.08,8.11
16.025,0.45,0.0,0.33,89.34,90.24,8.17
16.226,0.45,0.0,0.3,89.28,90.18,8.23
16.475,0.45,0.0,0.37,89.3,90.14,8.3
16.677,0.44,0.0,0.33,89.25,90.11,8.37
16.875,0.44,0.0,0.3,89.22,90.14,8.43
17.075,0.43,0.0,0.32,89.24,90.14,8.49
17.28,0.43,0.0,0.29,89.19,90.18,8.55
17.475,0.43,0.0,0.26,89.21,90.14,8.61
17.725,0.42,0.0,0.34,89.19,90.08,8.66
17.927,0.42,0.0,0.3,89.04,90.14,8.73
18.125,0.42,0.0,0.27,89.1,90.08,8.79
18.325,0.41,0.0,0.25,89.17,90.11,8.82
18.524,0.41,0.0,0.27,89.16,90.11,8.9
18.725,0.41,0.0,0.24,89.12,90.05,8.95
18.975,0.4,0.0,0.21,89.01,90.01,8.99
19.175,0.4,0.0,0.29,89.06,89.95,9.05
19.374,0.4,0.0,0.27,89.1,89.91,9.1
19.625,0.39,0.0,0.23,89.06,90.05,9.16
19.773,0.39,0.0,0.22,89.04,90.01,9.18
19.973,0.39,0.0,0.25,89.03,89.98,9.22
20.224,0.39,0.0,0.18,88.93,89.82,9.26
20.424,0.39,0.0,0.26,88.95,90.01,9.31
20.674,0.38,0.0,0.22,89.0,89.98,9.37
20.875,0.38,0.0,0.21,88.97,89.95,9.39
21.024,0.38,0.0,0.19,88.93,89.85,9.43
21.225,0.37,0.0,0.18,88.92,89.91,9.47
21.475,0.37,0.0,0.21,88.87,89.98,9.51
21.675,0.37,0.0,0.19,88.85,89.95,9.55
21.875,0.36,0.0,0.27,88.85,89.91,9.6
22.075,0.36,0.0,0.19,88.92,89.98,9.64
22.275,0.36,0.0,0.17,88.84,89.95,9.68
22.527,0.36,0.0,0.14,88.81,89.91,9.72
22.725,0.35,0.0,0.14,88.84,89.82,9.73
22.925,0.35,0.0,0.13,88.79,89.79,9.75
23.126,0.35,0.0,0.21,88.77,89.82,9.79
23.326,0.35,0.0,0.19,88.78,89.85,9.83
23.525,0.35,0.0,0.18,88.8,89.79,9.87
23.775,0.34,0.0,0.2,88.71,89.88,9.93
23.975,0.34,0.0,0.23,88.74,89.79,9.95
24.177,0.34,0.0,0.22,88.72,89.85,9.99
24.375,0.34,0.0,0.19,88.69,89.72,10.03
24.575,0.33,0.0,0.17,88.68,89.85,10.07
24.775,0.33,0.0,0.21,88.72,89.69,10.11
25.024,0.33,0.0,0.18,88.68,89.85,10.15
25.224,0.33,0.0,0.15,88.56,89.75,10.21
25.425,0.33,0.0,0.14,88.57,89.79,10.22
25.623,0.32,0.0,0.18,88.59,89.59,10.26
25.825,0.32,0.0,0.16,88.6,89.72,10.3
26.075,0.32,0.0,0.14,88.55,89.72,10.34
26.275,0.32,0.0,0.13,88.57,89.66,10.35
26.475,0.32,0.0,0.21,88.53,89.66,10.39
26.677,0.31,0.0,0.15,88.52,89.62,10.41
26.875,0.31,0.0,0.19,88.55,89.55,10.44
27.075,0.31,0.0,0.17,88.53,89.62,10.48
27.273,0.31,0.0,0.16,88.54,89.52,10.5
27.526,0.31,0.0,0.13,88.51,89.66,10.55
27.725,0.3,0.0,0.16,88.44,89.52,10.59
27.924,0.3,0.0,0.11,88.39,89.62,10.6
28.125,0.3,0.0,0.1,88.45,89.52,10.62
28.323,0.3,0.0,0.08,88.41,89.59,10.64
28.575,0.3,0.0,0.17,88.43,89.39,10.68
28.775,0.3,0.0,0.16,88.43,89.46,10.7
28.973,0.29,0.0,0.14,88.4,89.46,10.73
29.175,0.29,0.0,0.14,88.38,89.52,10.74
29.374,0.29,0.0,0.13,88.3,89.46,10.76
29.575,0.29,0.0,0.11,88.31,89.52,10.78
29.826,0.29,0.0,0.11,88.35,89.39,10.8
30.029,0.29,0.0,0.14,88.43,89.33,10.83
30.224,0.29,0.0,0.13,88.36,89.36,10.85
30.423,0.29,0.0,0.12,88.31,89.46,10.86
30.623,0.28,0.0,0.11,88.31,89.33,10.88
30.825,0.28,0.0,0.1,88.28,89.39,10.9
31.025,0.28,0.0,0.09,88.22,89.27,10.92
31.275,0.28,0.0,0.08,88.23,89.33,10.95
31.475,0.28,0.0,0.07,88.3,89.33,10.97
31.675,0.28,0.0,0.06,88.25,89.27,10.98
31.875,0.28,0.0,0.05,88.21,89.27,11.0
32.076,0.27,0.0,0.09,88.16,89.27,11.03
