espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,87.0,87.0,0.0
0.069,0.13,2.04,0.0,86.02,85.71,0.0
0.179,0.11,1.83,0.0,86.05,85.65,0.0
0.474,0.14,1.6,0.0,85.95,84.69,0.0
0.572,0.09,1.27,0.0,85.85,82.93,0.0
0.773,0.14,0.99,0.0,85.63,82.61,0.0
0.974,0.19,0.77,0.0,85.43,83.21,0.0
1.173,0.09,0.6,0.0,85.29,84.11,0.0
1.372,0.05,0.47,0.0,85.03,84.56,0.0
1.724,0.08,0.36,0.0,84.84,85.13,0.0
1.822,0.08,0.28,0.0,84.68,86.1,0.0
2.025,0.06,0.22,0.0,84.48,87.32,0.0
2.224,0.06,0.17,0.0,84.39,88.32,0.0
2.424,0.07,0.13,0.0,84.34,89.13,0.0
2.724,0.05,0.1,0.0,84.22,89.95,0.0
3.026,0.06,0.08,0.0,84.17,90.63,0.0
3.14,0.03,0.61,0.0,84.08,91.12,0.0
3.322,0.01,0.59,0.0,84.06,90.96,0.0
3.525,0.06,0.46,0.0,84.09,90.83,0.0
3.724,0.09,0.36,0.0,84.07,90.96,0.0
3.924,0.07,0.28,0.0,84.1,91.36,0.0
4.124,0.03,0.22,0.0,84.12,92.05,0.0
4.374,0.03,0.17,0.0,84.13,92.64,0.0
4.572,0.04,0.13,0.0,84.11,92.97,0.0
4.772,0.01,0.1,0.0,84.18,93.44,0.0
4.972,0.02,0.08,0.0,84.21,93.77,0.0
5.174,0.0,0.06,0.0,84.21,94.04,0.0
5.374,0.0,0.05,0.0,84.23,94.24,0.0
5.622,0.01,0.04,0.0,84.27,94.5,0.0
5.822,0.0,0.03,0.0,84.32,94.74,0.0
6.022,0.0,0.02,0.0,84.29,94.91,0.0
6.224,0.0,0.02,0.0,84.37,95.11,0.0
6.423,0.0,0.01,0.0,84.36,95.45,0.0
6.622,0.0,0.01,0.0,84.39,95.51,0.0
6.925,0.0,0.01,0.0,84.32,95.65,0.0
7.026,0.0,0.01,0.0,84.42,95.98,0.0
7.223,0.0,0.01,0.0,84.46,96.15,0.0
7.425,0.0,0.0,0.0,84.42,96.29,0.0
7.622,0.0,0.0,0.0,84.43,96.39,0.0
7.924,0.0,0.0,0.0,84.51,96.39,0.0
8.172,0.0,0.0,0.0,84.51,96.56,0.0
8.272,0.0,0.0,0.0,84.5,96.7,0.0
8.472,0.0,0.0,0.0,84.59,96.63,0.0
8.674,0.0,0.0,0.0,84.6,96.36,0.0
8.874,0.0,0.0,0.0,84.6,95.95,0.0
9.174,0.0,0.0,0.0,84.65,95.45,0.0
9.474,0.0,0.0,0.0,84.64,94.8,0.0
9.572,0.0,0.0,0.0,84.75,94.34,0.0
9.773,0.0,0.0,0.0,84.74,93.9,0.0
9.973,0.0,0.0,0.0,84.72,93.34,0.0
10.173,0.0,0.0,0.0,84.75,92.97,0.0
10.372,0.0,0.0,0.0,84.76,92.54,0.0
10.572,0.0,0.0,0.0,84.77,92.14,0.0
10.823,0.0,0.0,0.0,84.88,91.82,0.0
11.023,0.0,0.0,0.0,84.9,91.59,0.0
11.222,0.0,0.0,0.0,84.9,91.32,0.0
11.422,0.0,0.0,0.0,84.92,91.19,0.0
11.623,0.0,0.0,0.0,84.95,90.89,0.0
11.824,0.0,0.0,0.0,84.95,90.73,0.0
12.022,0.0,0.0,0.0,85.04,90.67,0.0
12.222,0.0,0.0,0.0,85.05,90.54,0.0
12.424,0.0,0.0,0.0,85.1,90.8,0.0
12.623,0.0,0.0,0.0,85.09,91.78,0.0
12.923,0.0,0.0,0.0,85.1,92.77,0.0
13.124,0.0,0.0,0.0,85.2,93.73,0.0
13.324,0.0,0.3,0.0,85.23,94.17,0.0
13.523,0.0,0.9,0.0,85.19,93.8,0.0
13.725,0.0,1.47,0.0,85.28,93.27,0.0
13.922,0.0,2.02,0.0,85.3,92.87,0.0
14.124,0.0,2.44,0.0,85.27,92.48,0.0
14.322,0.01,2.88,0.0,85.4,92.18,0.0
14.574,0.01,3.17,0.0,85.33,92.01,0.0
14.772,0.0,3.38,0.0,85.3,91.91,0.0
14.973,0.0,3.58,0.0,85.4,91.68,0.0
15.173,0.0,3.71,0.0,85.43,91.26,0.0
15.472,0.0,3.78,0.0,85.44,90.63,0.0
15.572,0.0,3.87,0.0,85.46,90.08,0.0
15.872,0.0,3.94,0.0,85.44,89.39,0.0
15.973,0.0,3.94,0.0,85.48,88.58,0.0
16.174,0.0,3.96,0.0,85.46,87.48,0.0
16.372,0.0,3.98,0.0,85.49,86.45,0.0
16.673,0.0,3.99,0.0,85.58,85.1,0.0
16.874,0.0,3.97,0.0,85.67,84.05,0.0
17.124,0.07,3.96,0.0,85.62,83.41,0.0
17.223,0.15,4.0,0.0,85.59,83.66,0.0
17.424,0.19,3.97,0.0,85.73,84.21,0.0
17.622,0.29,4.01,0.0,85.73,85.01,0.0
17.925,0.33,4.01,0.0,85.72,85.91,0.0
18.124,0.36,4.07,0.0,85.78,86.84,0.0
18.374,0.42,4.09,0.0,85.84,87.68,0.0
18.477,0.47,4.1,0.0,85.79,88.55,0.0
18.674,0.51,4.08,0.0,85.92,89.33,0.0
18.875,0.53,4.06,0.0,85.99,89.82,0.0
19.174,0.55,4.08,0.0,86.02,90.08,0.0
19.373,0.55,4.11,0.0,86.09,90.11,0.0
19.675,0.56,4.05,0.0,86.16,89.91,0.0
19.781,0.6,4.06,0.0,86.18,89.55,0.0
19.973,0.65,3.99,0.0,86.28,89.1,0.0
20.173,0.72,4.03,0.0,86.4,88.91,0.0
20.372,0.8,4.0,0.0,86.46,88.55,0.0
20.574,0.86,3.95,0.0,86.61,88.42,0.0
20.772,0.96,3.95,0.0,86.72,88.29,0.0
21.025,1.05,3.92,0.0,86.83,88.23,0.0
21.224,1.15,3.94,0.0,86.96,88.06,0.0
21.423,1.21,3.96,0.0,87.05,88.03,0.0
21.623,1.35,3.96,0.0,87.11,88.13,0.0
21.823,1.44,3.96,0.0,87.2,88.13,0.0
22.022,1.56,3.93,0.0,87.26,88.29,0.0
22.224,1.69,3.97,0.0,87.32,88.29,0.0
22.424,1.82,3.95,0.0,87.45,88.42,0.0
22.724,1.97,3.97,0.0,87.47,88.39,0.0
22.923,2.2,3.86,0.0,87.55,88.29,0.0
23.123,2.31,3.4,0.0,87.6,88.29,0.0
23.322,2.26,2.92,0.0,87.65,88.13,0.0
23.473,2.21,2.31,0.0,87.6,88.16,0.0
23.672,2.06,1.89,0.0,87.66,88.0,0.0
23.875,2.02,1.53,0.05,87.75,88.16,0.01
24.174,1.96,1.2,0.1,87.71,88.1,0.02
24.376,1.88,1.04,0.19,87.71,87.96,0.05
24.575,1.86,0.82,0.27,87.79,88.03,0.1
24.922,1.8,0.64,0.31,87.79,88.1,0.22
24.926,1.73,0.5,0.31,87.81,87.93,0.22
25.124,1.68,0.39,0.34,87.79,88.13,0.25
25.422,1.64,0.3,0.48,87.77,88.1,0.39
25.622,1.59,0.23,0.44,87.84,87.93,0.47
25.822,1.56,0.18,0.44,87.78,88.03,0.55
26.124,1.53,0.14,0.47,87.8,88.1,0.6
26.242,1.5,0.11,0.46,87.83,88.06,0.74
26.422,1.47,0.09,0.41,87.82,87.93,0.82
26.622,1.44,0.07,0.47,87.82,88.03,0.92
26.822,1.42,0.05,0.47,87.78,87.93,1.02
27.023,1.4,0.04,0.46,87.83,88.03,1.12
27.223,1.38,0.03,0.47,87.8,87.96,1.21
27.475,1.36,0.02,0.42,87.8,88.0,1.29
27.675,1.35,0.02,0.38,87.78,87.9,1.37
27.875,1.33,0.01,0.4,87.7,88.06,1.45
28.073,1.32,0.01,0.4,87.76,88.03,1.53
28.275,1.3,0.01,0.42,87.73,87.93,1.61
28.474,1.28,0.01,0.42,87.73,87.96,1.69
28.675,1.27,0.01,0.38,87.69,88.0,1.77
28.872,1.25,0.0,0.37,87.61,87.93,1.81
29.174,1.24,0.0,0.4,87.62,87.96,1.93
29.374,1.23,0.0,0.36,87.67,87.84,2.01
29.577,1.22,0.0,0.33,87.66,87.96,2.07
29.773,1.21,0.0,0.3,87.62,87.77,2.13
29.923,1.2,0.0,0.37,87.56,87.9,2.2
30.124,1.19,0.0,0.35,87.57,87.93,2.23
30.422,1.18,0.0,0.3,87.59,87.96,2.32
30.622,1.17,0.0,0.33,87.56,88.06,2.38
30.822,1.16,0.0,0.34,87.5,87.96,2.45
31.125,1.15,0.0,0.3,87.44,87.9,2.54
31.224,1.14,0.0,0.28,87.47,87.93,2.57
31.425,1.14,0.0,0.35,87.47,87.84,2.63
31.623,1.13,0.0,0.32,87.46,87.87,2.69
31.823,1.12,0.0,0.24,87.47,87.8,2.74
32.022,1.11,0.0,0.32,87.42,87.87,2.79
32.227,1.11,0.0,0.24,87.41,87.87,2.84
32.525,1.1,0.0,0.25,87.37,87.77,2.92
32.625,1.09,0.0,0.25,87.4,87.93,2.92
32.924,1.09,0.0,0.22,87.34,87.77,2.98
33.125,1.08,0.0,0.3,87.28,87.84,3.04
33.329,1.07,0.0,0.26,87.33,87.71,3.1
33.526,1.07,0.0,0.24,87.31,87.74,3.14
33.774,1.06,0.0,0.23,87.29,87.8,3.16
33.872,1.05,0.0,0.21,87.31,87.77,3.2
34.191,1.05,0.0,0.23,87.27,87.8,3.26
34.372,1.04,0.0,0.26,87.24,87.77,3.32
34.572,1.04,0.0,0.23,87.15,87.77,3.36
34.772,1.03,0.0,0.21,87.2,87.84,3.4
35.072,1.03,0.0,0.18,87.2,87.68,3.46
35.172,1.02,0.0,0.17,87.17,87.74,3.48
35.373,1.02,0.0,0.25,87.22,87.71,3.52
35.575,1.01,0.0,0.28,87.2,87.8,3.57
35.772,1.01,0.0,0.21,87.11,87.74,3.61
35.973,1.01,0.0,0.18,87.12,87.71,3.65
36.172,1.0,0.0,0.17,87.12,87.74,3.69
36.423,1.0,0.0,0.24,87.16,87.74,3.73
36.624,0.99,0.0,0.22,87.12,87.61,3.77
36.823,0.99,0.0,0.21,87.07,87.71,3.81
37.023,0.98,0.0,0.19,87.11,87.61,3.85
37.223,0.98,0.0,0.16,87.01,87.71,3.89
37.424,0.98,0.0,0.14,87.03,87.71,3.92
37.674,0.97,0.0,0.18,87.02,87.64,3.96
37.872,0.97,0.0,0.21,86.99,87.58,4.0
38.073,0.96,0.0,0.19,87.0,87.55,4.04
38.273,0.96,0.0,0.17,86.97,87.55,4.08
38.474,0.96,0.0,0.15,86.96,87.61,4.12
38.674,0.95,0.0,0.19,86.93,87.52,4.15
38.873,0.95,0.0,0.18,86.93,87.61,4.17
39.175,0.94,0.0,0.15,86.94,87.64,4.21
39.372,0.94,0.0,0.14,86.91,87.58,4.23
39.573,0.94,0.0,0.13,86.85,87.64,4.25
39.772,0.93,0.0,0.17,86.91,87.55,4.28
39.972,0.93,0.0,0.15,86.88,87.52,4.32
40.122,0.93,0.0,0.14,86.86,87.55,4.33
40.422,0.92,0.0,0.13,86.89,87.48,4.36
40.622,0.92,0.0,0.11,86.82,87.45,4.38
40.822,0.92,0.0,0.2,86.83,87.58,4.42
41.022,0.91,0.0,0.18,86.85,87.42,4.46
41.222,0.91,0.0,0.16,86.82,87.48,4.5
41.424,0.9,0.0,0.15,86.75,87.55,4.51
41.622,0.9,0.0,0.13,86.72,87.48,4.54
41.822,0.9,0.0,0.22,86.75,87.35,4.58
42.024,0.9,0.0,0.15,86.8,87.48,4.61
42.225,0.89,0.0,0.14,86.77,87.39,4.63
42.423,0.89,0.0,0.13,86.75,87.39,4.65
42.674,0.89,0.0,0.12,86.74,87.45,4.67
42.874,0.88,0.0,0.21,86.71,87.26,4.7
43.076,0.88,0.0,0.2,86.7,87.45,4.72
43.274,0.88,0.0,0.17,86.61,87.39,4.78
43.472,0.87,0.0,0.15,86.64,87.32,4.81
43.673,0.87,0.0,0.14,86.65,87.35,4.83
43.872,0.87,0.0,0.13,86.57,87.29,4.85
44.124,0.86,0.0,0.12,86.57,87.29,4.87
44.322,0.86,0.0,0.11,86.52,87.35,4.89
44.526,0.86,0.0,0.15,86.6,87.26,4.92
44.724,0.86,0.0,0.13,86.6,87.32,4.95
44.922,0.85,0.0,0.18,86.54,87.45,4.97
45.122,0.85,0.0,0.14,86.52,87.32,5.02
45.422,0.85,0.0,0.14,86.5,87.29,5.04
45.622,0.85,0.0,0.17,86.53,87.19,5.08
45.822,0.84,0.0,0.15,86.52,87.19,5.12
46.022,0.84,0.0,0.14,86.51,87.22,5.14
46.223,0.84,0.0,0.13,86.46,87.16,5.15
46.423,0.83,0.0,0.16,86.44,87.22,5.19
46.674,0.83,0.0,0.14,86.37,87.22,5.22
46.873,0.83,0.0,0.14,86.45,87.22,5.24
47.073,0.83,0.0,0.13,86.41,87.29,5.26
47.274,0.82,0.0,0.11,86.32,87.16,5.28
47.474,0.82,0.0,0.16,86.38,87.13,5.31
47.675,0.82,0.0,0.13,86.41,87.19,5.34
47.876,0.81,0.0,0.13,86.35,87.16,5.34
48.075,0.81,0.0,0.11,86.29,87.13,5.38
48.275,0.81,0.0,0.11,86.34,87.09,5.4
48.474,0.8,0.0,0.1,86.34,87.09,5.42
48.672,0.8,0.0,0.13,86.3,87.03,5.44
48.872,0.8,0.0,0.17,86.31,87.16,5.48
49.122,0.8,0.0,0.15,86.34,86.96,5.51
49.324,0.79,0.0,0.14,86.26,87.16,5.53
49.522,0.79,0.0,0.18,86.29,87.13,5.56
49.723,0.79,0.0,0.11,86.21,87.0,5.58
49.922,0.79,0.0,0.1,86.23,87.03,5.6
50.123,0.78,0.0,0.1,86.25,86.93,5.62
50.472,0.78,0.0,0.09,86.24,87.13,5.63
50.576,0.78,0.0,0.12,86.25,87.09,5.66
50.774,0.78,0.0,0.16,86.22,86.96,5.7
50.973,0.77,0.0,0.1,86.15,86.93,5.72
51.174,0.77,0.0,0.19,86.15,86.93,5.75
51.372,0.77,0.0,0.12,86.12,86.93,5.76
51.674,0.77,0.0,0.11,86.09,86.96,5.78
51.874,0.77,0.0,0.1,86.1,86.87,5.81
52.073,0.76,0.0,0.09,86.06,87.0,5.83
52.276,0.76,0.0,0.13,86.12,86.93,5.86
52.476,0.76,0.0,0.17,86.08,87.0,5.89
52.674,0.76,0.0,0.14,86.06,86.84,5.92
52.924,0.75,0.0,0.14,86.02,87.0,5.94
53.124,0.75,0.0,0.18,86.0,86.84,5.97
53.322,0.75,0.0,0.16,86.04,86.9,6.01
53.522,0.77,0.15,0.14,85.98,86.93,6.03
53.722,0.8,0.27,0.13,85.93,86.93,6.05
53.924,0.84,0.35,0.12,85.89,86.8,6.07
54.224,0.88,0.46,0.11,85.93,86.84,6.09
54.335,0.92,0.64,0.11,85.98,86.61,6.09
54.522,0.98,0.86,0.09,85.96,86.39,6.13
54.723,1.06,1.03,0.13,85.9,86.16,6.15
54.922,1.12,1.23,0.12,85.87,85.91,6.17
55.125,1.21,1.45,0.16,85.87,85.68,6.2
55.472,1.31,1.67,0.14,85.81,85.36,6.22
55.572,1.41,1.83,0.13,85.83,84.85,6.24
55.772,1.52,1.93,0.13,85.91,84.75,6.26
56.073,1.64,2.06,0.2,85.99,84.62,6.31
56.173,1.75,2.1,0.19,85.94,84.69,6.33
56.372,1.91,2.15,0.18,85.93,84.97,6.37
56.675,1.95,2.28,0.26,85.94,85.04,6.42
56.823,2.06,2.38,0.32,86.01,85.45,6.48
57.03,2.21,2.45,0.35,86.02,85.78,6.54
57.223,2.3,2.52,0.46,86.05,86.2,6.63
57.424,2.42,2.61,0.56,86.06,86.32,6.74
57.624,2.51,2.71,0.65,86.06,86.58,6.87
57.926,2.63,2.76,0.78,86.05,86.71,7.02
58.124,2.77,2.78,0.9,86.09,86.84,7.19
58.324,2.84,2.84,1.06,86.1,86.84,7.4
58.526,2.95,2.91,1.19,86.19,86.77,7.63
58.724,3.05,3.0,1.24,86.29,86.8,7.75
58.923,3.15,3.11,1.44,86.24,86.93,8.16
59.128,3.25,3.18,1.64,86.19,86.96,8.48
59.372,3.36,3.33,1.78,86.22,87.22,8.83
59.572,3.46,3.42,1.89,86.25,87.16,9.02
59.772,3.56,3.55,2.14,86.3,87.39,9.62
59.972,3.66,3.64,2.28,86.35,87.45,10.07
60.172,3.8,3.66,2.45,86.24,87.61,10.55
60.373,3.87,3.81,2.6,86.28,87.87,11.06
60.672,3.99,3.9,2.8,86.41,88.03,11.88
60.772,4.1,3.99,2.86,86.37,88.29,12.17
60.973,4.14,4.06,3.02,86.4,88.39,12.77
61.174,4.15,4.09,3.06,86.53,88.61,13.08
61.372,4.3,4.03,3.25,86.55,88.61,14.03
61.674,4.28,4.01,3.37,86.53,88.78,14.7
61.924,4.25,3.96,3.51,86.58,88.71,15.74
62.024,4.28,3.9,3.51,86.6,88.81,15.74
62.222,4.27,3.86,3.63,86.69,88.78,16.81
62.424,4.27,3.94,3.72,86.68,88.91,17.54
62.627,4.3,3.98,3.74,86.72,88.91,18.28
62.924,4.38,3.97,3.82,86.79,88.88,19.04
63.175,4.41,3.97,3.89,86.84,88.97,19.81
63.281,4.42,4.02,3.9,86.86,88.94,20.2
63.473,4.46,4.06,4.01,86.89,89.07,21.39
63.672,4.48,4.12,4.01,86.99,88.97,22.19
63.873,4.51,4.22,4.1,86.99,88.97,23.01
64.173,4.52,4.25,4.14,87.11,89.0,23.83
64.476,4.51,4.36,4.18,87.18,89.0,24.67
64.654,4.5,4.42,4.21,87.19,89.04,25.51

