espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.043,0.17,2.06,0.0,87.97,87.06,0.0
0.21,0.13,3.2,0.0,88.01,87.19,0.0
0.438,0.12,3.94,0.0,87.89,86.68,0.0
0.615,0.17,4.58,0.0,87.67,85.84,0.0
0.844,0.19,5.01,0.0,87.39,86.1,0.0
1.066,0.22,5.31,0.0,87.13,86.55,0.0
1.249,0.3,5.55,0.0,86.96,87.16,0.0
1.475,0.42,5.69,0.0,86.77,87.9,0.0
1.698,0.47,5.8,0.0,86.58,88.65,0.0
1.876,0.48,5.84,0.0,86.33,89.62,0.0
2.104,0.5,5.89,0.0,86.22,90.54,0.0
2.282,0.54,6.0,0.0,86.11,91.45,0.0
2.508,0.55,6.02,0.0,86.08,92.08,0.0
2.734,0.56,6.04,0.0,86.02,92.54,0.0
3.005,0.59,6.06,0.0,85.95,92.8,0.0
3.136,0.62,6.02,0.0,86.07,92.87,0.0
3.362,0.66,6.06,0.0,86.13,92.97,0.0
3.541,0.71,5.99,0.0,86.16,92.8,0.0
3.766,0.77,6.02,0.0,86.33,92.8,0.0
3.991,0.84,6.01,0.0,86.42,92.77,0.0
4.17,0.91,6.0,0.0,86.61,92.68,0.0
4.396,1.01,5.93,0.0,86.78,92.34,0.0
4.576,1.12,6.0,0.0,87.0,92.34,0.0
4.801,1.23,5.97,0.0,87.2,92.18,0.0
5.029,1.35,6.0,0.0,87.45,92.05,0.0
5.205,1.47,5.98,0.0,87.69,91.98,0.0
5.431,1.66,5.9,0.0,87.89,92.01,0.0
5.612,1.88,5.88,0.0,88.17,91.82,0.0
5.839,2.1,5.79,0.0,88.31,91.72,0.0
6.064,2.26,5.24,0.0,88.46,91.68,0.0
6.242,2.24,4.48,0.0,88.68,91.55,0.0
6.467,2.12,3.69,0.0,88.83,91.42,0.0
6.697,2.01,2.98,0.0,88.96,91.45,0.0
6.87,1.89,2.33,0.0,89.1,91.39,0.0
7.1,1.76,1.94,0.0,89.29,91.39,0.0
7.323,1.74,1.54,0.0,89.35,91.32,0.0
7.507,1.66,1.2,0.0,89.43,91.29,0.0
7.727,1.59,0.93,0.15,89.51,91.09,0.02
7.905,1.53,0.73,0.27,89.57,91.16,0.09
8.135,1.48,0.56,0.29,89.61,90.99,0.15
8.359,1.43,0.44,0.33,89.69,91.16,0.18
8.536,1.39,0.34,0.33,89.75,91.06,0.27
8.764,1.36,0.27,0.4,89.73,91.06,0.35
8.986,1.33,0.21,0.46,89.77,91.06,0.44
9.168,1.3,0.16,0.41,89.92,91.06,0.52
9.396,1.27,0.12,0.39,89.87,90.99,0.56
9.57,1.25,0.1,0.43,89.86,90.89,0.68
9.797,1.23,0.08,0.44,89.92,90.96,0.77
10.024,1.21,0.06,0.46,89.87,90.99,0.82
10.2,1.19,0.05,0.45,89.84,90.86,0.95
10.428,1.17,0.04,0.38,89.79,90.83,1.07
10.656,1.15,0.03,0.36,89.75,90.93,1.11
10.836,1.14,0.02,0.43,89.82,90.89,1.18
11.06,1.12,0.02,0.46,89.81,90.83,1.23
11.328,1.11,0.01,0.39,89.71,90.86,1.35
11.46,1.09,0.01,0.38,89.67,90.77,1.39
11.69,1.08,0.01,0.43,89.61,90.77,1.47
11.958,1.07,0.01,0.42,89.6,90.8,1.59
12.093,1.05,0.0,0.4,89.64,90.73,1.63
12.318,1.04,0.0,0.39,89.57,90.7,1.75
12.513,1.03,0.0,0.35,89.51,90.77,1.83
12.723,1.02,0.0,0.34,89.57,90.67,1.86
12.908,1.01,0.0,0.36,89.44,90.67,2.01
13.127,1.0,0.0,0.36,89.39,90.63,2.01
13.356,1.0,0.0,0.36,89.43,90.67,2.11
13.532,0.99,0.0,0.33,89.31,90.54,2.17
13.766,0.98,0.0,0.42,89.33,90.6,2.21
13.982,0.97,0.0,0.35,89.3,90.6,2.33
14.163,0.96,0.0,0.32,89.22,90.63,2.39
14.388,0.96,0.0,0.29,89.26,90.54,2.45
14.616,0.95,0.0,0.26,89.25,90.47,2.51
14.796,0.94,0.0,0.24,89.2,90.37,2.53
15.03,0.94,0.0,0.3,89.13,90.57,2.62
15.195,0.93,0.0,0.32,89.13,90.44,2.68
15.424,0.92,0.0,0.31,89.13,90.54,2.71
15.649,0.92,0.0,0.31,89.09,90.47,2.8
15.827,0.91,0.0,0.3,89.06,90.41,2.83
16.063,0.91,0.0,0.25,89.09,90.54,2.92
16.323,0.9,0.0,0.28,89.07,90.41,2.97
16.456,0.89,0.0,0.31,89.05,90.44,3.0
16.683,0.89,0.0,0.23,89.03,90.41,3.06
16.862,0.88,0.0,0.23,88.93,90.5,3.06
17.097,0.88,0.0,0.23,89.03,90.34,3.15
17.316,0.87,0.0,0.22,88.97,90.31,3.19
17.494,0.87,0.0,0.27,88.94,90.37,3.28
17.716,0.87,0.0,0.26,88.97,90.27,3.31
17.943,0.86,0.0,0.18,88.97,90.37,3.35
18.12,0.85,0.0,0.16,88.84,90.24,3.39
18.349,0.85,0.0,0.25,88.83,90.24,3.43
18.575,0.85,0.0,0.24,88.85,90.27,3.45
18.755,0.84,0.0,0.16,88.84,90.27,3.51
18.978,0.84,0.0,0.23,88.89,90.18,3.55
19.157,0.84,0.0,0.21,88.84,90.27,3.61
19.384,0.83,0.0,0.21,88.8,90.18,3.61
19.654,0.83,0.0,0.18,88.8,90.11,3.65
19.785,0.83,0.0,0.2,88.77,90.11,3.71
20.015,0.82,0.0,0.18,88.77,90.31,3.75
20.236,0.82,0.0,0.26,88.79,90.08,3.82
20.419,0.82,0.0,0.24,88.87,90.27,3.84
20.64,0.81,0.0,0.16,88.78,90.18,3.9
20.916,0.81,0.0,0.15,88.74,90.14,3.92
21.052,0.81,0.0,0.14,88.69,90.14,3.94
21.273,0.8,0.0,0.13,88.66,90.08,3.95
21.454,0.8,0.0,0.12,88.72,90.21,3.98
21.678,0.8,0.0,0.2,88.68,90.21,4.02
21.904,0.79,0.0,0.22,88.63,90.18,4.08
22.082,0.79,0.0,0.21,88.56,90.18,4.1
22.306,0.79,0.0,0.21,88.55,90.08,4.1
22.486,0.79,0.0,0.17,88.59,89.98,4.18
22.714,0.78,0.0,0.2,88.57,90.01,4.22
22.937,0.78,0.0,0.13,88.62,90.05,4.26
23.116,0.78,0.0,0.12,88.61,89.98,4.27
23.344,0.77,0.0,0.12,88.61,89.98,4.28
23.575,0.77,0.0,0.15,88.52,89.95,4.32
23.748,0.77,0.0,0.14,88.57,90.01,4.34
23.974,0.77,0.0,0.18,88.59,89.98,4.36
24.154,0.76,0.0,0.15,88.52,89.98,4.42
24.378,0.76,0.0,0.14,88.5,89.95,4.44
24.646,0.76,0.0,0.13,88.47,89.98,4.46
24.78,0.76,0.0,0.11,88.5,89.88,4.48
25.009,0.75,0.0,0.21,88.43,89.95,4.5
25.234,0.75,0.0,0.19,88.44,89.79,4.54
25.413,0.75,0.0,0.17,88.45,89.85,4.58
25.638,0.75,0.0,0.19,88.49,89.98,4.63
25.862,0.75,0.0,0.18,88.51,89.88,4.65
26.042,0.74,0.0,0.18,88.4,89.79,4.67
26.268,0.74,0.0,0.1,88.32,89.79,4.71
26.447,0.74,0.0,0.09,88.33,89.91,4.73
26.675,0.74,0.0,0.08,88.33,89.79,4.74
26.898,0.73,0.0,0.12,88.38,89.72,4.77
27.075,0.73,0.0,0.11,88.35,89.69,4.79
27.304,0.73,0.0,0.1,88.36,89.72,4.81
27.529,0.73,0.0,0.14,88.27,89.72,4.83
27.706,0.73,0.0,0.13,88.26,89.66,4.84
27.936,0.72,0.0,0.17,88.26,89.72,4.88
28.11,0.72,0.0,0.15,88.21,89.69,4.92
28.337,0.72,0.0,0.14,88.25,89.75,4.93
28.61,0.72,0.0,0.13,88.28,89.72,4.96
28.74,0.72,0.0,0.11,88.19,89.69,4.99
28.967,0.71,0.0,0.11,88.16,89.55,4.99
29.196,0.71,0.0,0.09,88.16,89.66,5.02
29.375,0.71,0.0,0.09,88.18,89.52,5.03
29.598,0.71,0.0,0.07,88.2,89.55,5.08
29.776,0.71,0.0,0.07,88.16,89.59,5.08
30.004,0.71,0.0,0.16,88.11,89.62,5.11
30.226,0.7,0.0,0.14,88.1,89.52,5.13
30.408,0.7,0.0,0.13,88.08,89.59,5.16
30.635,0.7,0.0,0.12,88.04,89.39,5.17
30.856,0.7,0.0,0.11,88.07,89.46,5.19
31.035,0.7,0.0,0.1,88.13,89.39,5.21
31.264,0.69,0.0,0.09,88.07,89.46,5.23
31.44,0.69,0.0,0.08,87.97,89.62,5.26
31.668,0.69,0.0,0.07,88.01,89.43,5.27
31.897,0.69,0.0,0.11,87.99,89.46,5.29
32.074,0.69,0.0,0.1,87.98,89.36,5.32
32.299,0.69,0.0,0.14,88.01,89.36,5.33
32.526,0.69,0.0,0.08,88.02,89.39,5.34
32.701,0.69,0.0,0.12,87.98,89.36,5.37
32.928,0.68,0.0,0.11,87.94,89.43,5.39
33.155,0.68,0.0,0.1,87.92,89.39,5.42
33.333,0.68,0.0,0.09,87.89,89.3,5.43
33.559,0.68,0.0,0.08,87.91,89.3,5.45
33.735,0.68,0.0,0.07,87.88,89.33,5.47
33.962,0.67,0.0,0.07,87.87,89.3,5.47
34.188,0.67,0.0,0.05,87.9,89.27,5.5
34.365,0.67,0.0,0.05,87.77,89.23,5.5
34.594,0.67,0.0,0.14,87.83,89.17,5.52
34.816,0.67,0.0,0.08,87.86,89.27,5.55
34.995,0.67,0.0,0.08,87.83,89.23,5.56
35.22,0.67,0.0,0.07,87.83,89.13,5.57
35.4,0.67,0.0,0.05,87.82,89.13,5.6
35.628,0.66,0.0,0.1,87.85,89.2,5.62
35.854,0.66,0.0,0.08,87.76,89.13,5.65
36.032,0.67,0.14,0.08,87.7,89.17,5.65
36.259,0.74,0.42,0.06,87.74,89.04,5.68
36.482,0.83,0.81,0.05,87.78,88.81,5.7
36.662,0.96,1.21,0.1,87.75,88.45,5.72
36.888,1.07,1.66,0.08,87.67,87.9,5.74
37.068,1.21,2.04,0.07,87.69,87.35,5.76
37.296,1.35,2.36,0.06,87.6,86.58,5.79
37.562,1.5,2.51,0.05,87.59,86.23,5.8
37.695,1.63,2.62,0.05,87.64,86.07,5.8
37.92,1.74,2.57,0.05,87.7,85.94,5.8
38.146,1.8,2.4,0.1,87.74,85.97,5.81
38.326,1.84,2.14,0.09,87.71,86.07,5.83
38.552,1.81,1.96,0.08,87.72,86.2,5.84
38.82,1.8,1.78,0.17,87.75,86.36,5.88
38.955,1.85,1.54,0.16,87.81,86.58,5.9
39.181,1.82,1.48,0.19,87.82,86.8,5.94
39.361,1.86,1.41,0.22,87.81,86.74,5.98
39.584,1.87,1.42,0.28,87.81,87.03,6.07
39.812,1.92,1.41,0.38,87.83,87.09,6.17
39.997,1.94,1.45,0.42,87.84,87.32,6.21
40.216,2.03,1.52,0.45,87.83,87.55,6.25
40.444,2.07,1.65,0.5,87.81,87.58,6.35
40.619,2.13,1.79,0.53,87.81,87.61,6.4
40.846,2.22,1.94,0.64,87.83,87.84,6.58
41.026,2.32,1.98,0.72,87.83,87.87,6.72
41.297,2.4,2.12,0.86,87.86,87.93,6.97
41.476,2.47,2.23,0.87,87.78,87.71,7.06
41.656,2.58,2.33,1.03,87.79,87.64,7.35
41.881,2.68,2.39,1.03,87.74,87.48,7.45
42.106,2.76,2.4,1.12,87.83,87.52,7.67
42.286,2.83,2.51,1.29,87.78,87.39,8.05
42.513,2.91,2.59,1.27,87.78,87.16,8.18
42.69,3.01,2.65,1.47,87.81,87.22,8.61
42.916,3.07,2.76,1.49,87.8,87.32,8.76
43.141,3.18,2.82,1.59,87.83,87.13,9.07
43.326,3.24,2.96,1.75,87.8,87.48,9.58
43.546,3.34,3.04,1.81,87.85,87.45,9.76
43.775,3.44,3.08,1.88,87.86,87.52,10.13
43.951,3.53,3.15,2.04,87.79,87.61,10.72
44.176,3.62,3.18,2.09,87.84,87.64,10.93
44.355,3.7,3.27,2.22,87.82,87.8,11.58
44.582,3.8,3.32,2.26,87.77,87.8,11.81
44.805,3.89,3.4,2.33,87.83,87.96,12.27
44.986,3.98,3.42,2.42,87.85,87.96,12.51
45.256,4.14,3.38,2.5,87.8,87.96,13.25
45.437,4.22,3.38,2.62,87.72,88.03,14.02
45.615,4.27,3.41,2.64,87.71,88.0,14.28
45.84,4.37,3.43,2.73,87.75,88.1,14.82
46.019,4.44,3.43,2.77,87.77,87.96,15.65
46.246,4.47,3.44,2.77,87.78,88.13,15.93
46.471,4.52,3.47,2.85,87.76,88.06,16.49
46.65,4.58,3.46,2.91,87.73,88.16,17.07
46.876,4.58,3.45,2.92,87.74,88.06,17.65
47.101,4.62,3.41,3.02,87.68,88.13,18.55
47.325,4.65,3.36,3.02,87.73,88.1,18.85
47.506,4.65,3.33,3.07,87.71,88.13,19.47
47.685,4.7,3.31,3.11,87.66,87.96,20.4
47.956,4.72,3.3,3.05,87.72,87.96,20.7
48.134,4.73,3.33,3.14,87.71,87.96,21.63
48.316,4.77,3.3,3.13,87.77,88.03,21.94
48.54,4.79,3.3,3.17,87.76,87.9,22.57
48.768,4.79,3.31,3.19,87.7,87.96,23.53
48.946,4.82,3.35,3.23,87.68,88.03,23.85
49.174,4.84,3.31,3.22,87.65,87.96,24.49
49.397,4.78,3.3,3.25,87.72,87.96,25.13
49.575,4.77,3.29,3.28,87.71,87.93,25.78
49.801,4.77,3.27,3.24,87.75,87.93,26.75
49.987,4.72,3.27,3.24,87.78,87.96,26.75
50.206,4.68,3.22,3.24,87.69,87.96,26.75
50.434,4.68,3.17,3.25,87.7,88.0,28.72
50.611,4.63,3.14,3.29,87.69,87.8,29.05
50.835,,,,,,
51.061,,,,,,
51.242,,,,,,
51.483,,,,,,

