espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,87.0,87.0,0.0
0.053,0.0,2.06,0.0,86.22,85.94,0.0
0.17,0.0,2.17,0.0,86.26,85.87,0.0
0.373,0.01,2.33,0.0,86.15,85.29,0.0
0.621,0.03,2.21,0.0,86.0,84.14,0.0
0.822,0.02,2.42,0.0,86.0,83.86,0.0
1.026,0.03,2.31,0.0,85.83,83.98,0.0
1.221,0.02,2.47,0.0,85.69,84.4,0.0
1.422,0.01,2.63,0.0,85.56,84.53,0.0
1.622,0.03,2.78,0.0,85.44,84.72,0.0
1.871,0.01,3.1,0.0,85.38,85.13,0.0
2.071,0.02,3.48,0.0,85.24,85.39,0.0
2.27,0.03,3.83,0.0,85.14,85.74,0.0
2.47,0.04,4.2,0.0,85.08,85.81,0.0
2.671,0.04,4.51,0.0,85.06,86.07,0.0
2.869,0.05,4.75,0.0,85.01,86.45,0.0
3.157,0.06,4.77,0.0,84.93,86.71,0.0
3.32,0.06,4.4,0.0,84.94,86.9,0.0
3.574,0.07,3.85,0.0,84.94,87.22,0.0
3.719,0.07,3.3,0.0,84.95,87.39,0.0
3.921,0.07,2.71,0.0,84.99,87.77,0.0
4.121,0.09,2.19,0.0,85.07,88.16,0.0
4.371,0.09,1.71,0.0,85.13,88.68,0.0
4.573,0.09,1.33,0.0,85.16,88.91,0.0
4.771,0.07,1.03,0.0,85.22,89.23,0.0
4.971,0.06,0.8,0.0,85.29,89.52,0.0
5.171,0.08,0.62,0.0,85.38,89.85,0.0
5.369,0.08,0.49,0.0,85.41,89.91,0.0
5.671,0.07,0.38,0.0,85.53,90.05,0.0
5.819,0.06,0.29,0.0,85.62,90.21,0.0
6.021,0.05,0.23,0.0,85.72,90.24,0.0
6.221,0.04,0.18,0.0,85.82,90.41,0.0
6.421,0.03,0.14,0.0,85.97,90.31,0.0
6.621,0.03,0.11,0.0,86.01,90.27,0.0
6.974,0.03,0.08,0.0,86.01,90.47,0.0
7.07,0.02,0.07,0.0,86.09,90.31,0.0
7.271,0.01,0.05,0.0,86.25,90.5,0.0
7.471,0.0,0.04,0.0,86.3,90.27,0.0
7.67,0.0,0.03,0.0,86.35,90.08,0.0
7.869,0.0,0.02,0.0,86.43,90.05,0.0
8.12,0.01,0.02,0.0,86.45,90.31,0.0
8.32,0.01,0.01,0.0,86.5,90.73,0.0
8.52,0.02,0.01,0.0,86.56,91.26,0.0
8.721,0.02,0.01,0.0,86.68,91.59,0.0
8.921,0.02,0.01,0.0,86.67,91.72,0.0
9.121,0.02,0.01,0.0,86.71,92.08,0.0
9.371,0.02,0.0,0.0,86.79,92.08,0.0
9.571,0.0,0.0,0.0,86.76,92.05,0.0
9.771,0.0,0.0,0.0,86.82,92.14,0.0
9.971,0.0,0.0,0.0,86.83,92.05,0.0
10.173,0.0,0.0,0.0,86.84,92.11,0.0
10.372,0.0,0.0,0.0,86.87,92.08,0.0
10.621,0.0,0.0,0.0,86.85,92.01,0.0
10.825,0.0,0.0,0.0,86.92,91.82,0.0
11.024,0.0,0.0,0.0,86.98,91.62,0.0
11.221,0.0,0.0,0.0,86.94,91.32,0.0
11.422,0.0,0.0,0.0,86.92,91.16,0.0
11.62,0.0,0.0,0.0,86.96,90.89,0.0
11.871,0.0,0.0,0.0,86.95,90.8,0.0
12.071,0.0,0.0,0.0,86.93,90.44,0.0
12.269,0.0,0.0,0.0,86.95,90.24,0.0
12.469,0.0,0.0,0.0,86.93,90.14,0.0
12.669,0.0,0.0,0.0,86.9,90.05,0.0
12.871,0.0,0.0,0.0,86.91,89.79,0.0
13.121,0.0,0.11,0.0,86.91,89.66,0.0
13.377,0.0,0.59,0.0,86.94,89.52,0.0
13.519,0.0,1.08,0.0,86.95,89.3,0.0
13.721,0.0,1.58,0.0,86.84,89.04,0.0
13.921,0.0,2.08,0.0,86.78,88.91,0.0
14.122,0.03,2.55,0.0,86.81,88.84,0.0
14.371,0.05,2.88,0.0,86.81,89.1,0.0
14.63,0.05,3.23,0.0,86.84,89.69,0.0
14.775,0.04,3.47,0.0,86.84,89.98,0.0
14.971,0.03,3.67,0.0,86.8,90.14,0.0
15.171,0.03,3.73,0.0,86.77,89.82,0.0
15.371,0.01,3.77,0.0,86.75,89.72,0.0
15.622,0.01,3.84,0.0,86.75,89.07,0.0
15.924,0.05,3.88,0.0,86.71,87.77,0.0
16.02,0.1,3.92,0.0,86.72,85.52,0.0
16.219,0.2,3.93,0.0,86.76,83.79,0.0
16.419,0.36,3.97,0.0,86.73,83.18,0.0
16.621,0.54,3.99,0.0,86.79,83.34,0.0
16.871,0.71,3.96,0.0,86.79,83.76,0.0
17.07,0.94,3.96,0.0,86.82,84.53,0.0
17.273,1.16,4.01,0.0,86.85,85.23,0.0
17.469,1.28,3.99,0.0,86.85,85.97,0.0
17.669,1.43,4.01,0.0,86.83,86.87,0.0
17.87,1.68,4.04,0.0,86.77,87.42,0.0
18.12,1.8,4.07,0.0,86.76,88.26,0.0
18.321,1.97,3.95,0.0,86.77,88.81,0.0
18.519,2.07,3.61,0.0,86.7,89.23,0.0
18.719,1.88,3.14,0.0,86.67,89.39,0.0
18.92,1.72,2.5,0.0,86.54,89.72,0.0
19.121,1.48,2.03,0.0,86.48,89.66,0.0
19.371,1.44,1.77,0.0,86.53,89.75,0.0
19.571,1.39,1.4,0.0,86.5,89.82,0.0
19.775,1.26,1.09,0.0,86.45,89.69,0.0
19.974,1.19,0.85,0.0,86.45,89.66,0.0
20.17,1.13,0.66,0.0,86.46,89.66,0.0
20.371,1.08,0.51,0.0,86.53,89.72,0.0
20.621,1.04,0.4,0.0,86.49,89.69,0.0
20.821,1.0,0.31,0.0,86.47,89.52,0.0
21.019,0.97,0.24,0.0,86.51,89.55,0.0
21.221,0.95,0.19,0.0,86.58,89.49,0.0
21.421,0.92,0.15,0.0,86.54,89.39,0.0
21.62,0.9,0.11,0.0,86.57,89.43,0.0
21.871,0.88,0.09,0.0,86.63,89.39,0.0
22.071,0.87,0.07,0.0,86.6,89.33,0.0
22.321,0.85,0.05,0.0,86.55,89.36,0.0
22.469,0.84,0.04,0.0,86.53,89.23,0.0
22.669,0.82,0.03,0.0,86.6,89.17,0.0
22.869,0.81,0.03,0.0,86.59,89.13,0.0
23.122,0.8,0.02,0.0,86.54,89.13,0.0
23.319,0.79,0.02,0.0,86.55,89.0,0.0
23.571,0.77,0.01,0.05,86.49,88.94,0.01
23.719,0.76,0.01,0.05,86.49,88.91,0.01
23.921,0.76,0.01,0.05,86.47,89.0,0.01
24.12,0.75,0.01,0.05,86.51,88.88,0.01
24.371,0.74,0.0,0.05,86.52,88.84,0.01
24.571,0.73,0.0,0.05,86.49,88.84,0.01
24.771,0.72,0.0,0.1,86.41,88.68,0.02
24.969,0.71,0.0,0.09,86.4,88.68,0.04
25.169,0.71,0.0,0.08,86.4,88.55,0.06
25.37,0.7,0.0,0.07,86.41,88.65,0.08
25.621,0.69,0.0,0.06,86.39,88.58,0.1
25.822,0.69,0.0,0.15,86.38,88.48,0.12
26.019,0.68,0.0,0.09,86.28,88.48,0.14
26.222,0.68,0.0,0.08,86.28,88.42,0.16
26.419,0.67,0.0,0.07,86.27,88.29,0.18
26.619,0.66,0.0,0.06,86.29,88.32,0.2
26.871,0.66,0.0,0.05,86.34,88.32,0.21
27.07,0.65,0.0,0.05,86.33,88.26,0.21
27.271,0.65,0.0,0.05,86.24,88.23,0.21
27.471,0.64,0.0,0.05,86.19,88.23,0.21
27.671,0.64,0.0,0.14,86.23,88.13,0.23
27.87,0.63,0.0,0.08,86.23,88.1,0.25
28.12,0.63,0.0,0.12,86.24,88.0,0.28
28.32,0.62,0.0,0.11,86.18,87.96,0.29
28.52,0.62,0.0,0.1,86.14,87.93,0.31
28.722,0.61,0.0,0.14,86.16,87.96,0.33
28.924,0.61,0.0,0.13,86.13,87.93,0.35
29.121,0.61,0.0,0.12,86.17,87.87,0.37
29.373,0.6,0.0,0.11,86.17,87.74,0.4
29.571,0.6,0.0,0.1,86.08,87.8,0.41
29.771,0.59,0.0,0.09,86.03,87.84,0.43
29.971,0.59,0.0,0.09,86.06,87.8,0.44
30.173,0.58,0.0,0.12,86.05,87.68,0.47
30.374,0.58,0.0,0.11,85.99,87.68,0.49
30.623,0.58,0.0,0.1,86.04,87.77,0.52
30.821,0.57,0.0,0.09,86.04,87.68,0.53
31.02,0.57,0.0,0.08,85.98,87.55,0.55
31.272,0.56,0.0,0.07,85.89,87.58,0.58
31.419,0.56,0.0,0.06,85.98,87.58,0.59
31.621,0.56,0.0,0.05,86.02,87.52,0.6
31.873,0.55,0.0,0.15,85.91,87.58,0.62
32.069,0.55,0.0,0.14,85.92,87.55,0.63
32.269,0.55,0.0,0.13,85.98,87.39,0.65
32.573,0.55,0.0,0.11,85.96,87.39,0.68
32.669,0.54,0.0,0.11,85.86,87.39,0.69
32.869,0.54,0.0,0.1,85.86,87.32,0.71
33.129,0.54,0.0,0.09,85.87,87.22,0.74
33.327,0.53,0.0,0.08,85.83,87.22,0.75
33.52,0.53,0.0,0.07,85.87,87.19,0.77
33.72,0.53,0.0,0.16,85.86,87.29,0.8
33.921,0.52,0.0,0.14,85.89,87.16,0.83
34.125,0.52,0.0,0.13,85.81,87.19,0.85
34.371,0.52,0.0,0.07,85.71,87.16,0.88
34.569,0.52,0.0,0.11,85.79,87.13,0.89
34.77,0.51,0.0,0.1,85.82,87.19,0.91
34.969,0.51,0.0,0.09,85.82,87.09,0.93
35.173,0.51,0.0,0.13,85.74,87.06,0.95
35.424,0.51,0.0,0.12,85.7,87.22,0.98
35.57,0.5,0.0,0.11,85.76,87.13,0.99
35.821,0.5,0.0,0.1,85.69,87.06,1.01
36.021,0.5,0.0,0.09,85.67,87.0,1.03
36.221,0.5,0.0,0.08,85.69,87.0,1.05
36.422,0.49,0.0,0.07,85.68,86.96,1.07
36.621,0.49,0.0,0.06,85.68,87.0,1.09
36.821,0.49,0.0,0.05,85.67,86.93,1.1
37.071,0.48,0.0,0.05,85.67,86.93,1.1
37.27,0.48,0.0,0.14,85.67,86.96,1.12
37.469,0.48,0.0,0.14,85.61,86.9,1.14
37.67,0.48,0.0,0.12,85.54,86.8,1.16
37.87,0.48,0.0,0.12,85.58,86.96,1.18
38.069,0.47,0.0,0.1,85.6,86.96,1.2
38.321,0.47,0.0,0.1,85.59,86.84,1.22
38.519,0.47,0.0,0.08,85.57,86.84,1.24
38.721,0.47,0.0,0.13,85.54,86.84,1.26
38.978,0.47,0.0,0.06,85.56,86.8,1.29
39.119,0.46,0.0,0.06,85.55,86.84,1.3
39.376,0.46,0.0,0.05,85.52,86.74,1.3
39.569,0.46,0.0,0.05,85.5,86.9,1.3
39.823,0.46,0.0,0.09,85.53,86.74,1.33
39.969,0.45,0.0,0.09,85.47,86.68,1.34
40.226,0.45,0.0,0.12,85.5,86.68,1.37
40.369,0.45,0.0,0.12,85.53,86.77,1.38
40.571,0.45,0.0,0.1,85.53,86.71,1.4
40.821,0.45,0.0,0.1,85.56,86.68,1.42
41.022,0.45,0.0,0.08,85.51,86.68,1.44
41.219,0.45,0.0,0.08,85.44,86.77,1.46
41.524,0.44,0.0,0.06,85.42,86.64,1.49
41.619,0.44,0.0,0.06,85.47,86.68,1.5
41.821,0.44,0.0,0.05,85.46,86.71,1.5
42.071,0.44,0.0,0.1,85.43,86.71,1.51
42.269,0.43,0.0,0.09,85.42,86.74,1.53
42.47,0.43,0.0,0.13,85.4,86.71,1.55
42.669,0.43,0.0,0.12,85.4,86.61,1.57
42.869,0.43,0.0,0.11,85.4,86.64,1.59
43.071,0.43,0.0,0.1,85.34,86.61,1.61
43.319,0.42,0.0,0.08,85.36,86.71,1.64
43.521,0.42,0.0,0.08,85.32,86.68,1.65
43.721,0.42,0.0,0.07,85.32,86.61,1.67
43.919,0.42,0.0,0.06,85.34,86.61,1.69
44.121,0.42,0.0,0.05,85.3,86.68,1.71
44.321,0.42,0.0,0.04,85.29,86.52,1.71
44.572,0.41,0.0,0.04,85.32,86.61,1.71
44.771,0.41,0.0,0.04,85.3,86.58,1.71
44.969,0.41,0.0,0.04,85.38,86.55,1.71
45.171,0.41,0.0,0.04,85.29,86.58,1.71
45.371,0.41,0.0,0.14,85.15,86.52,1.73
45.572,0.41,0.0,0.08,85.28,86.52,1.75
45.824,0.4,0.0,0.12,85.32,86.55,1.78
46.021,0.4,0.0,0.11,85.26,86.68,1.79
46.219,0.4,0.0,0.1,85.25,86.48,1.81
46.421,0.4,0.0,0.09,85.26,86.55,1.83
46.634,0.4,0.0,0.08,85.23,86.58,1.85
46.82,0.4,0.0,0.12,85.25,86.52,1.87
47.074,0.4,0.0,0.06,85.25,86.45,1.9
47.271,0.4,0.0,0.05,85.23,86.45,1.91
47.471,0.39,0.0,0.04,85.29,86.52,1.91
47.67,0.39,0.0,0.14,85.31,86.45,1.92
47.921,0.39,0.0,0.08,85.27,86.42,1.95
48.069,0.39,0.0,0.08,85.17,86.64,1.96
48.319,0.39,0.0,0.06,85.16,86.45,1.99
48.52,0.39,0.0,0.05,85.19,86.39,2.0
48.721,0.39,0.0,0.05,85.21,86.48,2.0
48.921,0.41,0.16,0.05,85.2,86.45,2.0
49.171,0.44,0.28,0.05,85.17,86.45,2.0
49.319,0.48,0.41,0.05,85.18,86.36,2.0
49.573,0.54,0.54,0.09,85.14,86.42,2.04
49.771,0.59,0.69,0.13,85.05,86.36,2.05
49.969,0.65,0.89,0.12,85.08,86.36,2.07
50.172,0.74,1.07,0.11,85.11,86.13,2.09
50.371,0.81,1.26,0.1,85.09,85.94,2.11
50.571,0.88,1.39,0.09,85.12,85.58,2.13
50.825,0.99,1.56,0.13,85.14,85.29,2.16
51.021,1.12,1.71,0.12,85.16,85.17,2.17
51.219,1.21,1.89,0.11,85.22,84.88,2.19
51.423,1.34,1.88,0.1,85.3,84.75,2.21
51.619,1.54,1.89,0.14,85.37,84.69,2.23
51.819,1.64,1.88,0.13,85.37,84.81,2.25
52.072,1.74,1.85,0.16,85.49,84.91,2.31
52.27,1.88,1.87,0.15,85.5,85.01,2.32
52.469,1.98,1.84,0.18,85.52,85.29,2.35
52.67,2.14,1.8,0.22,85.58,85.62,2.39
52.869,2.25,1.73,0.24,85.64,85.71,2.43
53.069,2.37,1.73,0.33,85.73,86.03,2.48
53.323,2.48,1.69,0.33,85.75,86.26,2.57
53.524,2.59,1.67,0.36,85.75,86.36,2.61
53.722,2.73,1.64,0.42,85.79,86.52,2.69
53.926,2.84,1.59,0.48,85.89,86.61,2.78
54.119,2.95,1.59,0.54,85.86,86.77,2.88
54.324,3.05,1.62,0.58,85.86,86.84,3.0
54.576,3.18,1.63,0.64,85.97,86.77,3.18
54.775,3.3,1.59,0.66,85.97,86.8,3.25
54.969,3.43,1.58,0.74,86.05,86.9,3.39
55.175,3.52,1.62,0.76,86.07,86.74,3.55
55.37,3.65,1.61,0.83,86.0,86.8,3.71
55.571,3.78,1.62,0.85,86.03,86.8,3.79
55.825,3.87,1.6,0.97,86.13,86.84,4.17
56.027,3.97,1.6,1.01,86.12,86.8,4.27
56.219,4.1,1.59,1.06,86.12,86.87,4.49
56.421,4.2,1.63,1.1,86.08,86.87,4.71
56.619,4.27,1.63,1.14,86.13,86.93,4.93
56.876,4.26,1.6,1.27,86.19,86.93,5.3
57.077,4.21,1.6,1.28,86.24,87.03,5.56
57.27,4.22,1.6,1.32,86.16,87.06,5.69
57.469,4.24,1.59,1.34,86.18,86.96,5.96
57.669,4.26,1.56,1.4,86.35,87.19,6.24
57.87,4.26,1.59,1.41,86.37,87.13,6.52
58.173,4.29,1.64,1.49,86.37,87.19,6.96
58.319,4.34,1.61,1.55,86.27,87.29,7.26
58.522,4.37,1.68,1.54,86.26,87.26,7.57
58.719,4.43,1.71,1.56,86.34,87.29,7.73
58.925,4.48,1.73,1.6,86.42,87.48,8.05
59.119,4.55,1.77,1.65,86.41,87.42,8.37
59.321,4.59,1.76,1.68,86.43,87.42,8.71
59.571,4.59,1.72,1.72,86.33,87.42,9.22
59.774,4.54,1.75,1.76,86.33,87.48,9.57
59.971,4.5,1.73,1.77,86.45,87.48,9.75
60.171,4.45,1.76,1.78,86.43,87.52,10.11
60.369,4.41,1.74,1.81,86.48,87.55,10.47
60.575,4.36,1.72,1.82,86.52,87.55,10.83
60.825,4.32,1.72,1.85,86.48,87.48,11.38
61.019,4.28,1.74,1.87,86.47,87.52,11.76
61.221,4.25,1.75,1.87,86.5,87.52,11.95
61.425,4.22,1.76,1.88,86.52,87.58,12.33
61.623,4.18,1.78,1.89,86.53,87.48,12.71
61.82,4.16,1.72,1.95,86.47,87.52,13.09
62.07,4.13,1.71,1.96,86.55,87.52,13.68
62.271,4.07,1.76,1.97,86.57,87.58,14.07
62.47,4.06,1.77,1.97,86.62,87.55,14.27
62.67,4.03,1.77,1.91,86.63,87.61,14.66
62.87,3.99,1.77,1.97,86.54,87.55,15.06
63.07,3.97,1.74,1.97,86.56,87.58,15.46
63.321,3.93,1.73,1.97,86.55,87.64,16.06
63.52,3.89,1.77,1.97,86.61,87.61,16.46
63.719,3.86,1.77,1.97,86.57,87.58,16.66
63.919,3.84,1.8,1.97,86.55,87.61,17.06
64.121,3.82,1.76,1.97,86.69,87.64,17.46
64.319,3.78,1.73,1.97,86.72,87.52,17.86
64.578,3.75,1.74,1.97,86.66,87.52,18.45
64.773,3.71,1.72,1.98,86.64,87.64,18.85
64.97,3.67,1.75,1.97,86.6,87.45,19.05
65.171,3.66,1.72,1.97,86.65,87.64,19.45
65.371,3.62,1.67,1.92,86.65,87.58,19.84
65.569,3.58,1.73,1.93,86.67,87.61,20.23
65.821,3.56,1.72,1.94,86.62,87.55,20.82
66.024,3.54,1.68,1.99,86.7,87.61,21.22
66.221,3.51,1.7,1.99,86.71,87.52,21.42
66.423,3.45,1.72,1.99,86.64,87.55,21.82
66.619,3.46,1.67,1.95,86.72,87.64,22.2
66.823,3.39,1.7,1.95,86.72,87.52,22.59
67.126,3.37,1.72,1.96,86.74,87.55,23.19
67.27,3.35,1.7,1.91,86.78,87.68,23.58
67.47,3.3,1.71,1.96,86.77,87.42,23.78
67.67,3.3,1.66,1.96,86.74,87.42,24.18
67.87,3.22,1.69,1.91,86.72,87.45,24.56
68.069,3.21,1.68,1.92,86.75,87.52,24.95
68.37,3.2,1.62,1.93,86.76,87.35,25.33
68.52,3.14,1.67,1.94,86.78,87.22,25.9
68.719,3.13,1.63,1.95,86.77,87.35,26.09
68.923,3.07,1.68,1.91,86.77,87.26,26.48
69.121,3.07,1.71,1.92,86.76,87.26,26.86
69.321,3.03,1.68,1.88,86.83,87.42,27.24
69.573,2.94,1.73,1.94,86.84,87.29,27.81
69.769,2.97,1.68,1.9,86.76,87.26,28.19
69.972,2.91,1.77,1.91,86.76,87.32,28.38
70.169,2.94,1.68,1.92,86.74,87.26,28.76
70.37,2.85,1.74,1.92,86.77,87.19,29.14
70.573,2.86,1.65,1.89,86.77,87.29,29.52
70.849,2.77,1.72,1.85,86.79,87.09,30.09
71.027,2.8,1.68,1.91,86.77,87.32,30.47

