espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,93.0,93.0,0.0
0.085,0.16,2.38,0.0,91.59,91.29,0.0
0.22,0.12,3.74,0.0,91.55,91.19,0.0
0.422,0.13,4.67,0.0,91.36,90.41,0.0
0.622,0.21,5.38,0.0,91.2,88.91,0.0
0.822,0.23,5.95,0.0,91.0,88.84,0.0
1.02,0.25,6.27,0.0,90.82,89.2,0.0
1.273,0.33,6.51,0.0,90.54,89.62,0.0
1.47,0.47,6.65,0.0,90.37,90.57,0.0
1.672,0.57,6.8,0.0,90.31,91.36,0.0
1.873,0.61,6.85,0.0,90.1,92.51,0.0
2.072,0.63,6.93,0.0,89.97,93.37,0.0
2.272,0.67,6.97,0.0,89.83,94.07,0.0
2.57,0.69,6.97,0.0,89.81,94.67,0.0
2.72,0.74,6.98,0.0,89.74,95.04,0.0
2.97,0.81,6.99,0.0,89.72,95.11,0.0
3.12,0.89,6.96,0.0,89.8,95.24,0.0
3.32,0.97,6.98,0.0,89.79,95.11,0.0
3.521,1.08,7.0,0.0,89.88,95.14,0.0
3.821,1.18,7.01,0.0,90.03,95.11,0.0
3.97,1.35,6.94,0.0,90.2,95.04,0.0
4.172,1.52,6.99,0.0,90.4,94.77,0.0
4.413,1.75,6.94,0.0,90.56,94.71,0.0
4.57,2.03,6.7,0.0,90.74,94.4,0.0
4.771,2.23,6.0,0.0,90.98,94.37,0.0
5.122,2.13,5.1,0.0,91.15,94.34,0.0
5.22,2.0,4.16,0.0,91.34,94.1,0.0
5.423,1.84,3.36,0.0,91.58,93.97,0.0
5.622,1.72,2.67,0.0,91.78,93.97,0.0
5.822,1.63,2.08,0.0,91.9,93.84,0.0
6.024,1.53,1.62,0.0,92.06,93.84,0.0
6.273,1.45,1.26,0.0,92.16,93.87,0.0
6.472,1.39,0.98,0.0,92.28,93.73,0.0
6.67,1.35,0.76,0.0,92.39,93.77,0.0
6.871,1.35,0.74,0.0,92.52,93.64,0.0
7.072,1.35,0.59,0.0,92.56,93.67,0.0
7.273,1.3,0.46,0.0,92.61,93.64,0.0
7.528,1.28,0.36,0.0,92.67,93.6,0.0
7.72,1.25,0.28,0.0,92.74,93.54,0.0
7.92,1.22,0.22,0.0,92.82,93.47,0.0
8.12,1.2,0.17,0.0,92.81,93.57,0.0
8.37,1.18,0.13,0.0,92.76,93.57,0.0
8.52,1.16,0.1,0.0,92.73,93.47,0.0
8.772,1.15,0.08,0.0,92.84,93.37,0.0
8.979,1.13,0.06,0.0,92.81,93.4,0.0
9.172,1.11,0.05,0.0,92.79,93.37,0.0
9.422,1.1,0.04,0.0,92.86,93.37,0.0
9.57,1.09,0.03,0.0,92.76,93.37,0.0
9.771,1.08,0.02,0.0,92.68,93.5,0.0
10.02,1.07,0.02,0.0,92.72,93.4,0.0
10.222,1.06,0.01,0.0,92.75,93.34,0.0
10.422,1.05,0.01,0.0,92.62,93.37,0.0
10.672,1.04,0.01,0.0,92.61,93.4,0.0
10.82,1.03,0.01,0.0,92.56,93.3,0.0
11.02,1.02,0.0,0.0,92.56,93.37,0.0
11.274,1.02,0.0,0.0,92.53,93.27,0.0
11.522,1.01,0.0,0.0,92.52,93.24,0.0
11.67,1.0,0.0,0.0,92.52,93.27,0.0
11.874,0.99,0.0,0.0,92.41,93.37,0.0
12.075,0.98,0.0,0.0,92.39,93.2,0.0
12.27,0.98,0.0,0.0,92.39,93.24,0.0
12.522,0.97,0.0,0.0,92.32,93.27,0.0
12.82,0.97,0.0,0.0,92.28,93.3,0.0
12.92,0.96,0.0,0.0,92.36,93.14,0.0
13.122,0.96,0.0,0.0,92.31,93.3,0.0
13.322,0.95,0.0,0.0,92.23,93.11,0.0
13.521,0.95,0.0,0.0,92.3,93.14,0.0
