espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.131,0.18,2.06,0.0,87.89,87.64,0.0
0.175,0.18,3.18,0.0,87.96,87.39,0.0
0.34,0.21,3.93,0.0,87.81,86.13,0.0
0.589,0.23,4.55,0.0,87.62,84.59,0.0
0.84,0.25,4.93,0.0,87.42,84.88,0.0
0.989,0.32,5.29,0.0,87.26,85.55,0.0
1.189,0.45,5.45,0.0,87.13,86.29,0.0
1.39,0.55,5.66,0.0,86.93,87.32,0.0
1.59,0.61,5.75,0.0,86.77,88.52,0.0
1.84,0.61,5.89,0.0,86.63,89.52,0.0
2.041,0.61,5.9,0.0,86.67,90.47,0.0
2.241,0.6,5.97,0.0,86.64,91.32,0.0
2.44,0.63,6.07,0.0,86.52,91.88,0.0
2.64,0.65,6.03,0.0,86.44,92.31,0.0
2.84,0.64,5.98,0.0,86.5,92.61,0.0
3.091,0.67,6.04,0.0,86.62,92.64,0.0
3.29,0.73,5.99,0.0,86.65,92.77,0.0
3.49,0.77,5.99,0.0,86.77,92.8,0.0
3.69,0.85,6.02,0.0,86.88,92.68,0.0
3.894,0.91,6.01,0.0,86.97,92.71,0.0
4.091,1.0,5.97,0.0,87.19,92.71,0.0
4.34,1.1,5.99,0.0,87.39,92.48,0.0
4.541,1.19,6.0,0.0,87.62,92.48,0.0
4.741,1.29,5.95,0.0,87.79,92.18,0.0
4.94,1.43,5.98,0.0,87.99,92.18,0.0
5.239,1.57,5.98,0.0,88.24,92.05,0.0
5.389,1.74,5.71,0.0,88.42,91.95,0.0
5.59,1.79,5.02,0.0,88.62,91.91,0.0
5.79,1.64,4.2,0.0,88.8,91.72,0.0
5.99,1.5,3.44,0.0,88.97,91.62,0.0
6.19,1.37,2.7,0.0,89.18,91.52,0.0
6.389,1.24,2.18,0.0,89.26,91.52,0.0
6.59,1.2,1.88,0.0,89.39,91.39,0.0
6.89,1.2,1.5,0.1,89.62,91.39,0.02
7.039,1.13,1.17,0.19,89.71,91.32,0.05
7.241,1.08,0.91,0.17,89.74,91.29,0.08
7.44,1.04,0.71,0.15,89.81,91.22,0.12
7.641,1.01,0.55,0.18,89.94,91.12,0.16
7.84,0.98,0.43,0.16,89.92,91.16,0.2
8.141,0.95,0.33,0.24,89.94,91.12,0.24
8.289,0.94,0.26,0.28,90.04,91.12,0.27
8.491,0.91,0.2,0.29,90.02,91.06,0.36
8.691,0.89,0.16,0.36,89.99,90.93,0.43
8.9,0.87,0.12,0.27,90.03,90.96,0.49
9.09,0.86,0.09,0.24,90.08,91.06,0.54
9.444,0.84,0.07,0.21,90.05,91.16,0.6
9.542,0.83,0.06,0.3,90.07,91.03,0.63
9.741,0.81,0.04,0.37,90.09,90.93,0.7
9.94,0.8,0.03,0.33,90.02,91.03,0.77
10.141,0.79,0.03,0.3,90.02,91.03,0.83
10.34,0.78,0.02,0.37,89.98,90.89,0.91
10.592,0.77,0.02,0.38,89.96,90.83,0.98
10.789,0.76,0.01,0.39,89.93,90.93,1.06
10.989,0.76,0.01,0.35,89.94,90.83,1.14
11.189,0.75,0.01,0.32,89.83,90.77,1.2
11.389,0.74,0.01,0.33,89.84,90.77,1.27
11.589,0.73,0.0,0.3,89.88,90.73,1.33
11.839,0.73,0.0,0.27,89.75,90.83,1.39
12.041,0.74,0.0,0.24,89.75,90.8,1.44
12.24,0.74,0.0,0.22,89.76,90.8,1.48
12.439,0.73,0.0,0.3,89.72,90.7,1.53
12.642,0.73,0.0,0.32,89.67,90.63,1.59
12.841,0.72,0.0,0.29,89.72,90.8,1.65
13.091,0.71,0.0,0.26,89.65,90.7,1.71
13.29,0.71,0.0,0.28,89.64,90.67,1.77
13.49,0.7,0.0,0.3,89.54,90.63,1.83
13.691,0.7,0.0,0.27,89.59,90.77,1.89
13.89,0.7,0.0,0.24,89.62,90.63,1.94
14.093,0.69,0.0,0.22,89.57,90.67,1.98
14.345,0.69,0.0,0.2,89.47,90.63,2.02
14.544,0.69,0.0,0.18,89.56,90.63,2.06
14.745,0.68,0.0,0.21,89.45,90.7,2.1
14.94,0.68,0.0,0.19,89.44,90.57,2.14
15.144,0.67,0.0,0.17,89.51,90.54,2.18
15.339,0.67,0.0,0.15,89.4,90.63,2.21
15.589,0.67,0.0,0.29,89.37,90.54,2.26
15.839,0.66,0.0,0.21,89.44,90.54,2.3
15.989,0.67,0.0,0.24,89.32,90.57,2.34
16.19,0.67,0.0,0.27,89.37,90.54,2.39
16.39,0.66,0.0,0.26,89.4,90.6,2.42
16.59,0.66,0.0,0.26,89.45,90.54,2.5
16.84,0.66,0.0,0.29,89.36,90.44,2.56
17.09,0.66,0.0,0.21,89.3,90.47,2.6
17.239,0.65,0.0,0.24,89.34,90.44,2.64
17.44,0.65,0.0,0.27,89.34,90.54,2.69
17.64,0.65,0.0,0.24,89.31,90.44,2.74
17.84,0.64,0.0,0.22,89.3,90.47,2.78
18.09,0.64,0.0,0.2,89.33,90.44,2.82
18.391,0.64,0.0,0.27,89.36,90.41,2.89
18.492,0.64,0.0,0.25,89.34,90.47,2.92
18.69,0.64,0.0,0.18,89.3,90.5,2.96
18.89,0.63,0.0,0.16,89.3,90.44,3.0
19.091,0.63,0.0,0.14,89.22,90.47,3.02
19.34,0.63,0.0,0.14,89.26,90.37,3.04
19.64,0.63,0.0,0.12,89.29,90.47,3.06
19.753,0.63,0.0,0.11,89.22,90.37,3.08
19.94,0.62,0.0,0.1,89.22,90.37,3.1
20.145,0.62,0.0,0.15,89.22,90.47,3.12
20.34,0.62,0.0,0.13,89.22,90.37,3.14
20.589,0.62,0.0,0.12,89.27,90.41,3.16
20.789,0.62,0.0,0.11,89.32,90.44,3.18
20.989,0.61,0.0,0.1,89.26,90.34,3.2
21.189,0.61,0.0,0.1,89.28,90.27,3.22
21.39,0.61,0.0,0.09,89.27,90.34,3.24
21.593,0.61,0.0,0.18,89.18,90.31,3.27
21.841,0.6,0.0,0.1,89.17,90.34,3.3
22.04,0.6,0.0,0.19,89.14,90.37,3.33
22.239,0.6,0.0,0.23,89.13,90.24,3.37
22.443,0.6,0.0,0.2,89.13,90.24,3.41
22.641,0.6,0.0,0.18,89.13,90.21,3.45
22.841,0.6,0.0,0.17,89.13,90.34,3.49
23.09,0.59,0.0,0.14,89.16,90.31,3.52
23.29,0.59,0.0,0.14,89.15,90.21,3.54
23.49,0.59,0.0,0.17,89.11,90.27,3.58
23.69,0.59,0.0,0.15,89.11,90.14,3.62
23.891,0.59,0.0,0.14,89.11,90.14,3.64
24.091,0.59,0.0,0.13,89.08,90.18,3.66
24.34,0.58,0.0,0.17,89.03,90.14,3.69
24.54,0.58,0.0,0.14,89.04,90.21,3.72
24.79,0.58,0.0,0.13,89.06,90.24,3.75
