espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,89.0,89.0,0.0
0.009,0.01,0.5,0.0,83.75,86.52,0.0
0.165,0.02,1.31,0.0,83.9,86.61,0.0
0.346,0.01,1.98,0.0,84.18,86.55,0.0
0.574,0.0,2.52,0.0,84.17,86.45,0.0
0.749,0.0,2.99,0.0,84.04,86.13,0.0
0.979,0.0,3.26,0.0,84.02,85.94,0.0
1.245,0.03,3.49,0.0,84.13,84.97,0.0
1.384,0.1,3.65,0.0,84.04,82.79,0.0
1.655,0.11,3.75,0.0,84.01,80.91,0.0
1.834,0.18,3.84,0.0,84.03,80.08,0.0
2.01,0.31,3.89,0.0,84.07,79.69,0.0
2.239,0.31,3.93,0.0,84.2,79.89,0.0
2.428,0.4,3.95,0.0,84.21,80.23,0.0
2.642,0.4,3.99,0.0,84.34,80.97,0.0
2.867,0.34,4.0,0.0,84.55,81.51,0.0
3.046,0.44,4.0,0.0,84.69,82.12,0.0
3.271,0.49,4.01,0.0,84.85,82.76,0.0
3.499,0.56,3.99,0.0,84.88,83.46,0.0
3.675,0.56,4.01,0.0,85.06,84.27,0.0
3.901,0.58,4.01,0.0,85.18,85.04,0.0
4.08,0.63,3.99,0.0,85.26,85.77,0.0
4.351,0.63,4.0,0.0,85.39,86.52,0.0
4.53,0.63,4.03,0.0,85.51,87.16,0.0
4.709,0.69,4.0,0.0,85.58,87.81,0.0
4.935,0.71,4.0,0.0,85.66,88.43,0.0
5.16,0.74,4.05,0.0,85.81,89.01,0.0
5.34,0.8,4.01,0.0,85.91,89.34,0.0
5.565,0.83,4.0,0.0,86.11,89.86,0.0
5.79,0.86,4.0,0.0,86.31,90.16,0.0
5.969,0.91,4.02,0.0,86.41,90.58,0.0
6.195,1.0,3.98,0.0,86.56,90.81,0.0
6.375,1.04,4.03,0.0,86.79,91.04,0.0
6.6,1.09,4.03,0.0,86.9,91.17,0.0
6.828,1.15,4.02,0.0,87.03,91.34,0.0
7.054,1.23,3.99,0.0,87.19,91.4,0.0
7.23,1.3,4.0,0.0,87.3,91.54,0.0
7.501,1.35,4.01,0.0,87.48,91.6,0.0
7.64,1.39,3.98,0.0,87.59,91.67,0.0
7.86,1.46,3.97,0.0,87.68,91.67,0.0
8.041,1.55,3.96,0.0,87.79,91.63,0.0
8.263,1.64,3.95,0.0,87.89,91.63,0.0
8.489,1.72,3.98,0.0,88.02,91.54,0.0
8.669,1.78,3.96,0.0,88.17,91.63,0.0
8.94,1.89,3.94,0.0,88.29,91.54,0.0
9.118,1.97,3.97,0.0,88.38,91.67,0.0
9.3,2.06,3.98,0.0,88.37,91.7,0.0
9.524,2.18,4.02,0.0,88.52,91.73,0.0
9.752,2.31,3.98,0.0,88.62,91.73,0.0
9.929,2.43,3.95,0.0,88.6,91.86,0.0
10.203,2.55,3.56,0.0,88.67,91.9,0.0
10.335,2.46,3.06,0.0,88.74,91.96,0.0
10.56,2.32,2.55,0.0,88.81,92.0,0.0
10.784,2.23,2.03,0.0,88.9,91.9,0.0
10.965,2.09,1.58,0.0,88.91,91.86,0.0
11.188,1.96,1.23,0.0,88.91,91.83,0.0
11.55,1.89,0.96,0.14,88.93,91.83,0.04
11.607,1.81,0.85,0.14,88.95,91.77,0.04
11.823,1.79,0.68,0.18,88.97,91.8,0.07
11.999,1.73,0.53,0.21,88.88,91.57,0.11
12.225,1.7,0.41,0.2,88.88,91.57,0.13
12.449,1.67,0.32,0.22,88.93,91.4,0.19
12.635,1.61,0.25,0.39,88.89,91.47,0.26
12.902,1.58,0.19,0.33,88.88,91.4,0.37
13.081,1.55,0.15,0.37,88.82,91.34,0.41
13.26,1.49,0.12,0.35,88.77,91.27,0.44
13.487,1.45,0.09,0.25,88.75,91.3,0.53
13.718,1.44,0.07,0.37,88.75,91.27,0.61
13.895,1.44,0.06,0.35,88.71,91.24,0.64
14.124,1.42,0.04,0.39,88.69,91.14,0.76
14.296,1.39,0.03,0.35,88.65,91.14,0.84
14.568,1.37,0.03,0.38,88.57,91.2,0.88
14.746,1.36,0.02,0.33,88.57,90.94,0.98
14.924,1.34,0.02,0.31,88.57,90.98,1.01
15.155,1.33,0.01,0.36,88.51,90.88,1.11
15.379,1.31,0.01,0.36,88.4,90.91,1.11
15.602,1.3,0.01,0.33,88.45,90.84,1.28
15.78,1.29,0.01,0.31,88.44,90.75,1.31
15.959,1.27,0.0,0.3,88.39,90.84,1.34
16.185,1.26,0.0,0.3,88.37,90.58,1.43
16.42,1.25,0.0,0.32,88.34,90.64,1.49
16.638,1.24,0.0,0.28,88.36,90.68,1.58
16.82,1.23,0.0,0.26,88.33,90.64,1.61
17.048,1.22,0.0,0.24,88.35,90.58,1.63
17.22,1.21,0.0,0.22,88.33,90.52,1.69
17.456,1.21,0.0,0.29,88.28,90.35,1.75
17.624,1.2,0.0,0.32,88.26,90.38,1.78
17.9,1.19,0.0,0.31,88.29,90.38,1.81
18.076,1.18,0.0,0.25,88.23,90.38,1.93
18.303,1.18,0.0,0.27,88.2,90.25,1.99
18.481,1.17,0.0,0.24,88.21,90.29,2.04
18.75,1.16,0.0,0.3,88.15,90.22,2.12
18.884,1.16,0.0,0.29,88.19,90.25,2.15
19.202,1.15,0.0,0.26,88.18,90.12,2.21
19.294,1.14,0.0,0.26,88.14,90.12,2.21
19.515,1.14,0.0,0.22,88.13,90.02,2.29
19.739,1.14,0.0,0.21,88.12,89.99,2.31
19.923,1.13,0.0,0.22,88.08,89.99,2.38
20.145,1.12,0.0,0.2,88.08,89.93,2.42
20.46,1.12,0.0,0.22,88.1,89.93,2.48
20.549,1.12,0.0,0.22,88.12,89.99,2.48
20.775,1.11,0.0,0.19,88.08,89.93,2.54
20.999,1.11,0.0,0.22,87.94,89.96,2.58
21.179,1.1,0.0,0.2,87.99,89.79,2.62
21.404,1.1,0.0,0.19,88.0,89.73,2.64
21.584,1.09,0.0,0.16,87.99,89.93,2.7
21.809,1.09,0.0,0.19,87.96,89.83,2.74
22.037,1.09,0.0,0.16,87.98,89.73,2.8
22.215,1.08,0.0,0.15,87.98,89.79,2.81
22.44,1.08,0.0,0.14,87.96,89.66,2.82
22.665,1.07,0.0,0.17,87.98,89.63,2.88
22.847,1.07,0.0,0.15,87.96,89.73,2.92
23.069,1.07,0.0,0.13,87.87,89.6,2.95
23.295,1.06,0.0,0.18,87.93,89.6,2.97
23.478,1.06,0.0,0.16,87.86,89.6,2.99
23.699,1.06,0.0,0.18,87.87,89.66,3.05
23.878,1.05,0.0,0.17,87.9,89.54,3.09
24.151,1.05,0.0,0.14,87.82,89.5,3.13
24.329,1.05,0.0,0.13,87.86,89.47,3.14
24.517,1.04,0.0,0.12,87.87,89.54,3.16
24.734,1.04,0.0,0.11,87.84,89.37,3.18
