espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.229,0.13,2.21,0.0,88.68,87.74,0.0
0.26,0.15,3.54,0.0,88.62,87.74,0.0
0.417,0.14,4.55,0.0,88.53,86.77,0.0
0.617,0.16,5.27,0.0,88.32,86.39,0.0
0.818,0.21,5.81,0.0,88.16,86.52,0.0
1.018,0.33,6.14,0.0,87.88,86.93,0.0
1.217,0.46,6.45,0.0,87.7,87.48,0.0
1.417,0.54,6.65,0.0,87.54,88.39,0.0
1.617,0.58,6.76,0.0,87.29,89.3,0.0
1.817,0.63,6.85,0.0,87.19,90.08,0.0
2.118,0.69,6.91,0.0,87.07,90.86,0.0
2.322,0.73,6.96,0.0,86.93,91.68,0.0
2.467,0.81,7.03,0.0,86.9,91.85,0.0
2.666,0.85,7.04,0.0,86.82,92.11,0.0
2.866,0.92,7.04,0.0,86.86,92.18,0.0
3.066,1.03,7.01,0.0,86.9,92.11,0.0
3.366,1.13,7.0,0.0,86.86,91.98,0.0
3.566,1.26,6.96,0.0,87.01,91.85,0.0
3.767,1.42,6.95,0.0,87.13,91.75,0.0
3.967,1.57,6.91,0.0,87.3,91.65,0.0
4.298,1.73,6.95,0.0,87.5,91.59,0.0
4.376,1.92,6.73,0.0,87.69,91.59,0.0
4.567,2.01,6.02,0.0,87.88,91.52,0.0
4.767,1.86,5.13,0.0,88.08,91.39,0.0
5.017,1.74,4.12,0.0,88.32,91.22,0.0
5.217,1.57,3.34,0.0,88.51,91.16,0.0
5.417,1.5,2.63,0.0,88.61,91.03,0.0
5.618,1.42,2.15,0.0,88.87,91.19,0.0
5.817,1.38,1.7,0.0,88.99,90.99,0.0
6.017,1.34,1.33,0.0,89.07,90.93,0.0
6.267,1.29,1.03,0.0,89.25,90.83,0.0
6.468,1.26,0.8,0.0,89.39,90.86,0.0
6.668,1.25,0.77,0.0,89.49,90.77,0.0
6.866,1.27,0.61,0.1,89.63,90.67,0.02
7.067,1.24,0.48,0.09,89.65,90.57,0.03
7.269,1.21,0.37,0.08,89.73,90.67,0.05
7.566,1.18,0.29,0.07,89.8,90.63,0.07
7.667,1.17,0.23,0.06,89.85,90.7,0.09
7.867,1.16,0.18,0.15,89.81,90.54,0.12
8.067,1.15,0.14,0.19,89.88,90.5,0.15
8.367,1.13,0.11,0.21,89.93,90.54,0.21
8.567,1.12,0.08,0.24,89.94,90.57,0.25
8.817,1.11,0.06,0.22,89.9,90.5,0.29
8.916,1.1,0.05,0.21,89.85,90.47,0.31
9.121,1.09,0.04,0.19,89.96,90.44,0.35
9.317,1.09,0.03,0.22,89.9,90.44,0.39
9.617,1.08,0.02,0.23,89.84,90.37,0.46
9.817,1.07,0.02,0.21,89.87,90.5,0.5
10.117,1.07,0.01,0.19,89.79,90.44,0.54
10.216,1.06,0.01,0.22,89.89,90.47,0.58
10.418,1.05,0.01,0.3,89.83,90.54,0.64
10.617,1.05,0.01,0.26,89.74,90.34,0.7
10.817,1.04,0.01,0.25,89.74,90.37,0.72
11.017,1.04,0.0,0.23,89.7,90.47,0.76
11.217,1.03,0.0,0.21,89.71,90.41,0.8
11.467,1.03,0.0,0.18,89.65,90.47,0.86
11.668,1.02,0.0,0.16,89.48,90.31,0.9
11.868,1.02,0.0,0.14,89.58,90.31,0.93
12.068,1.01,0.0,0.18,89.6,90.37,0.97
12.267,1.01,0.0,0.22,89.46,90.34,0.99
12.466,1.01,0.0,0.2,89.49,90.34,1.03
12.716,1.0,0.0,0.17,89.48,90.21,1.07
12.916,1.0,0.0,0.14,89.44,90.24,1.12
13.118,1.0,0.0,0.14,89.39,90.34,1.14
13.317,0.99,0.0,0.18,89.38,90.21,1.17
13.517,0.99,0.0,0.22,89.39,90.24,1.19
13.717,0.99,0.0,0.2,89.32,90.31,1.23
13.968,0.98,0.0,0.22,89.32,90.27,1.27
14.169,0.98,0.0,0.14,89.28,90.34,1.32
14.368,0.98,0.0,0.14,89.34,90.31,1.34
14.567,0.98,0.0,0.13,89.33,90.14,1.35
14.769,0.97,0.0,0.22,89.21,90.24,1.38
14.967,0.97,0.0,0.24,89.2,90.21,1.43
15.217,0.97,0.0,0.18,89.3,90.21,1.47
15.417,0.96,0.0,0.14,89.23,90.14,1.52
15.617,0.96,0.0,0.14,89.21,90.11,1.54
15.818,0.96,0.0,0.12,89.11,90.08,1.56
16.017,0.96,0.0,0.12,89.13,90.24,1.57
