espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.119,0.2,2.48,0.0,88.46,88.1,0.0
0.254,0.17,3.78,0.0,88.49,88.0,0.0
0.404,0.18,4.73,0.0,88.32,86.52,0.0
0.605,0.24,5.4,0.0,88.02,85.65,0.0
0.805,0.26,5.89,0.0,87.69,86.16,0.0
1.06,0.32,6.25,0.0,87.47,86.39,0.0
1.255,0.47,6.45,0.0,87.18,87.16,0.0
1.459,0.56,6.68,0.0,86.96,88.03,0.0
1.713,0.59,6.8,0.0,86.74,89.04,0.0
1.873,0.62,6.91,0.0,86.59,90.05,0.0
2.058,0.61,6.92,0.0,86.47,90.8,0.0
2.308,0.63,6.95,0.0,86.44,91.42,0.0
2.508,0.63,6.98,0.0,86.44,91.72,0.0
2.709,0.66,7.03,0.0,86.51,92.21,0.0
2.954,0.66,7.07,0.0,86.58,92.25,0.0
3.104,0.69,7.01,0.0,86.75,92.14,0.0
3.304,0.72,7.09,0.0,86.94,92.21,0.0
3.554,0.78,7.05,0.0,87.06,92.05,0.0
3.755,0.83,7.08,0.0,87.27,91.82,0.0
3.955,0.93,7.04,0.0,87.47,91.65,0.0
4.155,1.03,7.02,0.0,87.68,91.52,0.0
4.355,1.18,7.0,0.0,88.0,91.49,0.0
4.605,1.31,6.95,0.0,88.22,91.32,0.0
4.805,1.51,6.98,0.0,88.38,91.32,0.0
5.026,1.74,6.95,0.0,88.6,91.26,0.0
5.206,1.98,6.73,0.0,88.82,91.03,0.0
5.405,2.23,5.99,0.0,88.99,90.96,0.0
5.606,2.22,5.04,0.0,89.11,91.09,0.0
5.805,2.15,4.1,0.0,89.27,90.96,0.0
6.055,2.01,3.38,0.0,89.38,90.83,0.0
6.255,1.97,2.73,0.0,89.45,90.8,0.0
6.455,1.89,2.13,0.0,89.58,90.57,0.0
6.655,1.76,1.66,0.0,89.66,90.7,0.0
6.857,1.69,1.29,0.0,89.73,90.6,0.0
7.056,1.62,1.0,0.0,89.76,90.47,0.0
7.304,1.56,0.78,0.0,89.89,90.5,0.0
7.554,1.51,0.61,0.0,89.89,90.5,0.0
7.704,1.46,0.47,0.0,89.95,90.54,0.0
7.904,1.42,0.37,0.1,90.0,90.54,0.01
8.105,1.38,0.29,0.15,89.97,90.47,0.02
8.303,1.35,0.22,0.18,90.0,90.5,0.06
8.555,1.31,0.17,0.15,89.99,90.57,0.12
8.755,1.28,0.13,0.18,90.07,90.47,0.16
8.955,1.26,0.1,0.21,90.05,90.54,0.2
9.154,1.23,0.08,0.14,90.04,90.44,0.23
9.354,1.2,0.06,0.19,89.97,90.54,0.25
9.595,1.18,0.05,0.17,89.96,90.44,0.29
9.808,1.15,0.04,0.19,89.92,90.5,0.35
10.005,1.13,0.03,0.32,89.92,90.47,0.4
10.206,1.11,0.02,0.24,89.95,90.41,0.45
10.405,1.09,0.02,0.22,89.88,90.44,0.49
10.655,1.07,0.01,0.3,89.83,90.37,0.54
10.804,1.05,0.01,0.28,89.84,90.44,0.57
11.057,1.04,0.01,0.24,89.81,90.41,0.64
11.258,1.02,0.01,0.31,89.77,90.24,0.7
11.455,1.0,0.01,0.34,89.77,90.27,0.76
11.655,0.98,0.0,0.3,89.71,90.27,0.82
11.905,0.97,0.0,0.28,89.64,90.31,0.88
12.054,0.95,0.0,0.24,89.72,90.21,0.93
12.304,0.94,0.0,0.33,89.66,90.27,0.98
12.505,0.93,0.0,0.34,89.58,90.24,1.05
12.704,0.91,0.0,0.31,89.6,90.24,1.11
12.906,0.9,0.0,0.33,89.55,90.27,1.17
13.107,0.89,0.0,0.3,89.48,90.14,1.23
13.308,0.87,0.0,0.27,89.48,90.14,1.29
13.555,0.86,0.0,0.24,89.54,90.27,1.34
13.805,0.85,0.0,0.26,89.49,90.08,1.4
13.954,0.84,0.0,0.24,89.44,90.24,1.44
14.155,0.83,0.0,0.22,89.43,90.27,1.48
14.355,0.82,0.0,0.25,89.42,90.11,1.52
14.557,0.81,0.0,0.32,89.38,90.08,1.58
14.805,0.8,0.0,0.34,89.29,90.11,1.64
15.055,0.79,0.0,0.31,89.31,90.05,1.7
15.205,0.78,0.0,0.24,89.25,90.18,1.75
15.405,0.77,0.0,0.31,89.32,90.14,1.81
15.606,0.76,0.0,0.28,89.3,90.05,1.87
15.855,0.75,0.0,0.25,89.2,90.05,1.93
16.057,0.74,0.0,0.28,89.25,90.08,1.98
16.255,0.73,0.0,0.3,89.3,89.95,2.04
16.455,0.72,0.0,0.26,89.22,90.08,2.1
16.655,0.71,0.0,0.24,89.18,90.11,2.14
16.854,0.71,0.0,0.22,89.14,90.01,2.18
17.055,0.7,0.0,0.25,89.13,89.98,2.23
17.306,0.69,0.0,0.22,89.13,89.98,2.27
17.505,0.68,0.0,0.26,89.15,89.95,2.32
17.707,0.68,0.0,0.27,89.17,89.98,2.38
17.954,0.67,0.0,0.29,89.12,89.95,2.44
18.104,0.66,0.0,0.26,89.11,89.95,2.5
18.355,0.66,0.0,0.23,89.13,90.05,2.55
18.555,0.65,0.0,0.22,89.09,90.05,2.59
18.757,0.64,0.0,0.24,89.07,89.95,2.64
19.005,0.64,0.0,0.26,89.1,90.08,2.7
19.155,0.63,0.0,0.23,89.0,89.95,2.75
19.405,0.62,0.0,0.22,89.03,89.95,2.79
19.604,0.62,0.0,0.24,89.09,90.05,2.83
19.804,0.61,0.0,0.27,89.01,89.79,2.89
20.008,0.6,0.0,0.24,88.96,89.95,2.94
20.205,0.6,0.0,0.22,88.97,89.82,2.98
20.406,0.59,0.0,0.2,88.94,89.85,3.02
20.605,0.59,0.0,0.23,89.06,89.79,3.06
20.906,0.58,0.0,0.26,88.99,89.85,3.12
21.054,0.58,0.0,0.23,88.93,89.98,3.16
21.255,0.57,0.0,0.26,88.99,89.79,3.22
21.455,0.57,0.0,0.23,89.0,89.79,3.26
21.655,0.56,0.0,0.21,88.89,89.91,3.3
21.859,0.55,0.0,0.24,88.9,89.88,3.35
22.155,0.55,0.0,0.26,88.87,89.85,3.4
22.305,0.55,0.0,0.24,88.92,89.79,3.45
22.506,0.54,0.0,0.22,88.92,89.75,3.49
22.707,0.54,0.0,0.24,88.89,89.75,3.54
22.904,0.53,0.0,0.22,88.86,89.88,3.58
23.106,0.53,0.0,0.2,88.9,89.62,3.62
23.305,0.52,0.0,0.18,88.76,89.69,3.66
23.555,0.52,0.0,0.16,88.79,89.62,3.7
23.805,0.51,0.0,0.19,88.78,89.79,3.74
23.954,0.51,0.0,0.22,88.79,89.62,3.78
24.205,0.5,0.0,0.2,88.76,89.72,3.82
24.354,0.5,0.0,0.18,88.77,89.79,3.86
24.605,0.5,0.0,0.16,88.75,89.69,3.9
24.805,0.49,0.0,0.24,88.72,89.55,3.94
25.005,0.49,0.0,0.22,88.71,89.62,3.98
25.205,0.49,0.0,0.2,88.7,89.55,4.02
25.406,0.48,0.0,0.18,88.75,89.52,4.06
25.605,0.48,0.0,0.16,88.68,89.52,4.1
25.855,0.47,0.0,0.14,88.66,89.62,4.13
26.056,0.47,0.0,0.18,88.56,89.52,4.16
26.254,0.47,0.0,0.21,88.63,89.66,4.2
26.455,0.46,0.0,0.14,88.68,89.49,4.22
26.656,0.46,0.0,0.24,88.63,89.55,4.25
26.856,0.46,0.0,0.26,88.57,89.59,4.31
27.057,0.45,0.0,0.24,88.56,89.55,4.35
27.306,0.45,0.0,0.22,88.55,89.39,4.37
27.505,0.45,0.0,0.19,88.48,89.52,4.43
27.705,0.44,0.0,0.18,88.53,89.49,4.47
