espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,90.0,90.0,0.0
0.085,0.36,2.01,0.0,89.86,89.88,0.0
0.221,0.36,3.24,0.0,89.84,89.95,0.0
0.421,0.39,4.33,0.0,89.83,89.3,0.0
0.622,0.45,5.11,0.0,89.65,87.16,0.0
0.823,0.46,5.7,0.0,89.51,86.87,0.0
1.022,0.48,6.17,0.0,89.39,86.74,0.0
1.273,0.5,6.47,0.0,89.25,86.96,0.0
1.47,0.52,6.68,0.0,89.19,87.29,0.0
1.671,0.63,6.8,0.0,89.06,87.64,0.0
1.87,0.74,6.88,0.0,88.81,88.39,0.0
2.072,0.79,6.97,0.0,88.77,89.2,0.0
2.275,0.8,6.98,0.0,88.68,90.05,0.0
2.474,0.84,7.02,0.0,88.57,90.77,0.0
2.726,0.87,7.0,0.0,88.45,91.39,0.0
2.96,0.89,6.99,0.0,88.35,91.78,0.0
3.12,0.95,7.04,0.0,88.25,92.01,0.0
3.322,0.98,6.98,0.0,88.29,92.18,0.0
3.522,1.02,6.99,0.0,88.32,92.25,0.0
3.722,1.09,6.99,0.0,88.29,92.18,0.0
3.972,1.15,6.99,0.0,88.29,92.14,0.0
4.172,1.22,7.0,0.0,88.34,92.14,0.0
4.372,1.32,7.03,0.0,88.43,91.91,0.0
4.571,1.4,7.0,0.0,88.53,91.82,0.0
4.82,1.53,6.94,0.0,88.63,91.62,0.0
4.971,1.69,6.7,0.0,88.77,91.45,0.0
5.271,1.67,5.89,0.0,88.88,91.19,0.0
5.37,1.51,4.98,0.0,88.96,90.93,0.0
5.624,1.32,4.0,0.0,89.12,90.8,0.0
5.821,1.21,3.19,0.0,89.24,90.83,0.0
6.024,1.12,2.6,0.0,89.32,90.67,0.0
6.222,1.08,2.05,0.0,89.47,90.54,0.0
6.422,1.01,1.59,0.0,89.59,90.5,0.0
6.672,0.96,1.35,0.0,89.72,90.6,0.0
6.873,0.98,1.11,0.0,89.77,90.5,0.0
7.074,0.94,0.87,0.0,89.83,90.57,0.0
7.221,0.92,0.67,0.0,89.84,90.47,0.0
7.526,0.89,0.52,0.0,89.95,90.41,0.0
7.83,0.86,0.41,0.0,89.95,90.31,0.0
7.924,0.84,0.32,0.0,90.01,90.27,0.0
8.124,0.82,0.25,0.1,89.99,90.41,0.02
8.322,0.8,0.19,0.04,89.99,90.27,0.03
8.526,0.79,0.15,0.09,90.17,90.27,0.04
8.722,0.77,0.12,0.13,90.15,90.18,0.06
8.921,0.75,0.09,0.12,90.25,90.21,0.08
9.172,0.74,0.07,0.2,90.17,90.21,0.12
9.373,0.73,0.05,0.18,90.11,90.31,0.16
9.572,0.71,0.04,0.16,90.03,90.24,0.2
9.772,0.7,0.03,0.14,90.04,90.21,0.23
9.971,0.69,0.03,0.18,89.97,90.14,0.26
10.171,0.68,0.02,0.26,89.95,90.18,0.31
10.421,0.68,0.02,0.19,89.97,90.14,0.35
10.622,0.67,0.01,0.22,89.98,90.11,0.39
10.822,0.66,0.01,0.15,90.0,90.05,0.42
11.022,0.65,0.01,0.14,89.94,90.08,0.44
11.222,0.64,0.01,0.22,89.93,90.05,0.48
11.422,0.63,0.0,0.3,89.85,90.11,0.54
11.722,0.62,0.0,0.27,89.83,90.18,0.6
11.821,0.62,0.0,0.25,89.88,90.08,0.62
12.023,0.61,0.0,0.23,89.84,90.11,0.66
12.322,0.6,0.0,0.2,89.72,90.05,0.72
12.522,0.6,0.0,0.28,89.75,90.01,0.77
12.724,0.6,0.0,0.2,89.75,89.95,0.81
12.972,0.59,0.0,0.24,89.73,89.85,0.85
13.172,0.58,0.0,0.32,89.62,90.08,0.9
13.275,0.58,0.0,0.25,89.67,89.91,0.93
13.572,0.57,0.0,0.26,89.69,90.14,1.02
13.772,0.57,0.0,0.23,89.72,89.91,1.06
13.972,0.56,0.0,0.21,89.64,89.91,1.1
14.272,0.56,0.0,0.23,89.58,89.82,1.16
14.371,0.55,0.0,0.22,89.6,89.88,1.18
14.572,0.55,0.0,0.2,89.58,89.79,1.22
14.772,0.54,0.0,0.18,89.59,89.75,1.26
15.071,0.54,0.0,0.2,89.51,89.69,1.32
15.171,0.54,0.0,0.19,89.54,89.75,1.34
15.371,0.53,0.0,0.17,89.53,89.79,1.38
15.621,0.53,0.0,0.15,89.5,89.79,1.42
15.822,0.52,0.0,0.18,89.47,89.82,1.45
16.072,0.52,0.0,0.21,89.48,89.82,1.49
16.22,0.52,0.0,0.24,89.4,89.75,1.53
16.472,0.51,0.0,0.22,89.41,89.59,1.57
16.672,0.51,0.0,0.2,89.43,89.75,1.61
16.82,0.5,0.0,0.3,89.38,89.72,1.64
17.122,0.5,0.0,0.26,89.39,89.75,1.72
17.322,0.5,0.0,0.23,89.35,89.79,1.76
17.52,0.49,0.0,0.21,89.28,89.75,1.8
17.721,0.49,0.0,0.29,89.3,89.66,1.85
17.922,0.49,0.0,0.21,89.35,89.59,1.89
18.122,0.48,0.0,0.19,89.37,89.59,1.93
18.324,0.48,0.0,0.17,89.33,89.59,1.97
18.522,0.48,0.0,0.2,89.29,89.69,2.01
18.722,0.48,0.0,0.18,89.27,89.62,2.05
18.922,0.47,0.0,0.17,89.2,89.66,2.09
19.122,0.47,0.0,0.25,89.19,89.55,2.13
19.372,0.47,0.0,0.18,89.29,89.59,2.17
19.572,0.46,0.0,0.15,89.22,89.55,2.21
19.772,0.46,0.0,0.14,89.25,89.79,2.23
20.021,0.46,0.0,0.22,89.26,89.59,2.27
20.221,0.46,0.0,0.16,89.22,89.55,2.31
20.421,0.45,0.0,0.14,89.15,89.46,2.33
20.622,0.45,0.0,0.13,89.14,89.55,2.34
20.822,0.45,0.0,0.22,89.2,89.62,2.39
21.022,0.45,0.0,0.24,89.17,89.59,2.43
21.221,0.44,0.0,0.22,89.22,89.62,2.47
21.422,0.44,0.0,0.2,89.16,89.46,2.51
21.622,0.44,0.0,0.18,89.15,89.59,2.55
21.872,0.44,0.0,0.22,89.05,89.46,2.59
22.072,0.43,0.0,0.2,89.05,89.55,2.63
22.272,0.43,0.0,0.17,88.99,89.43,2.67
22.472,0.44,0.0,0.21,88.98,89.52,2.71
22.677,0.45,0.0,0.18,89.09,89.43,2.75
22.871,0.45,0.0,0.17,89.09,89.52,2.79
23.072,0.45,0.0,0.14,89.02,89.59,2.82
23.322,0.45,0.0,0.18,89.06,89.39,2.86
23.52,0.44,0.0,0.16,89.0,89.39,2.9
