espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,89.0,89.0,0.0
0.043,0.01,0.67,0.0,86.74,88.56,0.0
0.21,0.0,2.08,0.0,87.1,88.62,0.0
0.438,0.0,3.04,0.0,87.22,88.23,0.0
0.615,0.0,3.84,0.0,87.19,86.26,0.0
0.844,0.02,4.48,0.0,87.29,84.62,0.0
1.066,0.02,4.91,0.0,87.39,83.18,0.0
1.249,0.02,5.26,0.0,87.37,81.68,0.0
1.475,0.04,5.46,0.0,87.33,80.71,0.0
1.698,0.09,5.62,0.0,87.31,80.11,0.0
1.876,0.25,5.76,0.0,87.38,80.24,0.0
2.104,0.45,5.85,0.0,87.41,80.71,0.0
2.282,0.52,5.91,0.0,87.4,81.58,0.0
2.508,0.59,5.95,0.0,87.39,82.82,0.0
2.734,0.62,5.95,0.0,87.22,83.95,0.0
3.005,0.64,6.01,0.0,87.13,85.04,0.0
3.136,0.7,5.98,0.0,87.07,86.0,0.0
3.362,0.72,6.0,0.0,87.01,86.75,0.0
3.541,0.76,6.0,0.0,86.99,87.42,0.0
3.766,0.8,5.99,0.0,87.09,88.17,0.0
3.991,0.83,5.99,0.0,87.11,88.72,0.0
4.17,0.87,6.0,0.0,87.22,89.24,0.0
4.396,0.94,5.98,0.0,87.31,89.63,0.0
4.576,1.02,5.99,0.0,87.41,89.83,0.0
4.801,1.11,5.98,0.0,87.6,90.16,0.0
5.029,1.19,5.98,0.0,87.72,90.65,0.0
5.205,1.28,5.96,0.0,87.85,90.75,0.0
5.431,1.38,5.98,0.0,87.94,90.95,0.0
5.612,1.49,6.04,0.0,88.09,91.21,0.0
5.839,1.57,5.97,0.0,88.27,91.27,0.0
6.064,1.66,5.96,0.0,88.35,91.44,0.0
6.242,1.8,5.93,0.0,88.46,91.54,0.0
6.467,1.91,5.99,0.0,88.56,91.54,0.0
6.697,2.07,5.97,0.0,88.68,91.7,0.0
6.87,2.25,5.85,0.0,88.76,91.6,0.0
7.1,2.42,5.28,0.0,88.86,91.73,0.0
7.323,2.39,4.47,0.0,89.03,91.87,0.0
7.507,2.2,3.7,0.14,89.11,91.77,0.03
7.727,2.0,2.98,0.28,89.15,91.67,0.08
7.905,1.86,2.38,0.31,89.23,91.6,0.11
8.135,1.77,1.86,0.33,89.25,91.64,0.17
8.359,1.65,1.45,0.52,89.32,91.57,0.22
8.536,1.55,1.13,0.44,89.42,91.5,0.36
8.764,1.48,0.88,0.62,89.41,91.47,0.53
8.986,1.42,0.68,0.64,89.4,91.5,0.59
9.168,1.38,0.63,0.59,89.42,91.41,0.78
9.396,1.38,0.55,0.66,89.37,91.3,0.85
9.57,1.36,0.43,0.65,89.35,91.3,0.97
9.797,1.36,0.34,0.65,89.4,91.27,1.17
10.024,1.31,0.26,0.67,89.38,91.07,1.24
10.2,1.25,0.2,0.62,89.33,91.11,1.42
10.428,1.22,0.16,0.61,89.3,91.14,1.54
10.656,1.2,0.12,0.61,89.29,90.95,1.54
10.836,1.17,0.1,0.64,89.27,90.95,1.78
11.06,1.14,0.07,0.61,89.26,90.95,1.84
11.328,1.11,0.06,0.55,89.24,90.81,1.96
11.46,1.1,0.05,0.47,89.15,90.88,2.11
11.69,1.1,0.15,0.54,89.19,90.84,2.16
11.958,1.11,0.13,0.57,89.18,90.75,2.32
12.093,1.11,0.1,0.54,89.07,90.58,2.37
12.318,1.1,0.08,0.56,89.09,90.42,2.54
12.513,1.09,0.06,0.5,89.15,90.55,2.64
12.723,1.06,0.05,0.48,89.04,90.39,2.69
12.908,1.06,0.04,0.51,89.01,90.42,2.83
13.127,1.06,0.03,0.51,88.97,90.39,2.83
13.356,1.04,0.02,0.48,88.99,90.39,3.0
13.532,1.02,0.02,0.38,88.99,90.39,3.08
13.766,1.01,0.01,0.36,88.95,90.42,3.12
13.982,0.99,0.01,0.4,88.91,90.32,3.24
14.163,0.98,0.01,0.36,88.92,90.35,3.32
14.388,0.97,0.01,0.34,88.93,90.25,3.35
14.616,0.96,0.01,0.39,88.86,90.22,3.47
14.796,0.96,0.0,0.36,88.84,90.16,3.51
15.03,0.95,0.0,0.36,88.85,90.19,3.63
15.195,0.94,0.0,0.32,88.88,90.19,3.69
15.424,0.93,0.0,0.3,88.81,90.22,3.72
15.649,0.92,0.0,0.28,88.86,90.19,3.78
15.827,0.92,0.0,0.34,88.83,90.22,3.85
16.063,0.91,0.0,0.3,88.79,90.03,3.94
16.323,0.9,0.0,0.26,88.75,90.03,4.0
16.456,0.9,0.0,0.25,88.78,90.06,4.03
16.683,0.9,0.0,0.26,88.75,90.06,4.12
16.862,0.89,0.0,0.27,88.72,90.03,4.18
17.097,0.88,0.0,0.31,88.73,89.99,4.21
17.316,0.88,0.0,0.27,88.7,89.99,4.28
17.494,0.87,0.0,0.26,88.72,90.03,4.31
17.716,0.87,0.0,0.22,88.67,89.93,4.37
17.943,0.86,0.0,0.25,88.68,89.86,4.42
18.12,0.86,0.0,0.24,88.69,89.89,4.44
18.349,0.86,0.0,0.21,88.58,89.83,4.5
18.575,0.85,0.0,0.2,88.62,89.89,4.52
18.755,0.85,0.0,0.27,88.69,89.8,4.59
18.978,0.85,0.0,0.19,88.61,89.77,4.64
